submission_pk,User,AVG,SEEN,UNSEEN
1145508,TTong,6.80 (1),4.64 (1),8.59 (1),
757756,weiheng.liu,6.97 (2),4.87 (2),8.73 (2),
659916,Stephen_30,8.11 (3),5.67 (3),10.14 (9),
614956,nmy,8.27 (4),6.52 (9),9.72 (3),
1079316,pfren,8.30 (5),6.19 (6),10.05 (8),
569937,Lin17,8.38 (6),6.75 (13),9.73 (4),
829992,bitwdj,8.42 (7),6.13 (5),10.33 (10),
618327,MElody,8.44 (8),6.09 (4),10.40 (13),
852521,bitwdj,8.47 (9),6.21 (7),10.35 (11),
805983,dcfc,8.49 (10),6.79 (14),9.92 (5),
495875,zhangboshen,8.57 (11),6.92 (16),9.95 (7),
498039,zhangboshen,8.57 (12),6.92 (17),9.95 (6),
1034697,linjinggang,8.68 (13),6.63 (11),10.40 (12),
488770,yoyoyo,8.84 (14),6.58 (10),10.73 (15),
1141950,hpoes,8.88 (15),6.36 (8),10.98 (19),
692185,jameel,8.98 (16),6.93 (18),10.68 (14),
515540,SKnet,9.09 (17),6.71 (12),11.07 (20),
669571,tanaydeshmukh,9.13 (18),6.79 (15),11.07 (21),
531691,ibrahim_abdelaziz,9.21 (19),7.18 (21),10.91 (17),
624749,narhpe,9.33 (20),7.57 (23),10.80 (16),
576333,poser17,9.46 (21),7.68 (25),10.94 (18),
420415,mks0601,9.95 (22),6.97 (19),12.43 (23),
423274,slivorezzz,9.97 (23),7.55 (22),12.00 (22),
567800,UncleLL,10.47 (24),7.09 (20),13.29 (25),
707635,icarusw,10.57 (25),7.89 (26),12.80 (24),
509383,Tutelarix,11.08 (26),7.62 (24),13.97 (29),
420450,oasis,11.30 (27),8.86 (27),13.33 (26),
420437,THU_EE_VCLab,11.70 (28),9.15 (28),13.83 (27),
498391,NAIST_RV,11.90 (29),9.34 (30),14.04 (30),
420421,Vanora,11.91 (30),9.55 (32),13.89 (28),
481132,LSL,11.96 (31),9.30 (29),14.17 (31),
513209,CodeFlow,12.19 (32),9.50 (31),14.44 (32),
460886,maxo,12.94 (33),9.55 (33),15.77 (33),
499588,icarusw,13.68 (34),9.76 (34),16.94 (35),
531275,Duter,14.58 (35),11.98 (36),16.74 (34),
419688,mmadadi,14.74 (36),11.87 (35),17.14 (36),
473474,rvhand,16.61 (37),13.53 (37),19.18 (37),
478720,strawberryfg,17.78 (38),14.38 (38),20.60 (38),
417771,Franziska,18.57 (39),15.39 (41),21.23 (39),
415576,SamuelYuan,19.71 (40),14.58 (40),23.98 (40),
459840,yutaidong,21.16 (41),16.76 (42),24.83 (41),
522059,danioj5,21.22 (42),14.53 (39),26.79 (42),
445534,quanlemanh,38.85 (43),32.85 (43),43.86 (44),
420434,cngalaxy,39.00 (44),36.45 (44),41.13 (43),
592810,Original,57.69 (45),61.88 (45),54.21 (45),
515028,youlemei,143.73 (46),154.53 (46),134.73 (46),
