submission_pk,User,Accuracy,Precision,Recall,F1-score
435824,ChuhanWu,0.7347 (1),0.6304 (4),0.8006 (4),0.7054 (1),
436143,cbaziotis,0.7321 (2),0.6535 (2),0.6913 (13),0.6719 (2),
436112,omidrohanian,0.6429 (15),0.5317 (20),0.8360 (2),0.6500 (3),
436025,rangwani_harsh,0.6607 (10),0.5506 (13),0.7878 (7),0.6481 (4),
436090,thanhvu,0.7015 (3),0.6091 (5),0.6913 (13),0.6476 (5),
435747,Shuangqian,0.6276 (19),0.5199 (23),0.7974 (5),0.6294 (6),
435547,jogonba2,0.6110 (23),0.5059 (27),0.8328 (3),0.6294 (7),
435866,liangxh16,0.6594 (11),0.5550 (11),0.7138 (10),0.6245 (8),
435554,CJ,0.6671 (8),0.5654 (9),0.6945 (12),0.6234 (9),
435841,dadangewp,0.6786 (7),0.5831 (8),0.6656 (15),0.6216 (10),
435650,tigi,0.6875 (4),0.5988 (7),0.6431 (19),0.6202 (11),
436012,dirazuherfa,0.6505 (12),0.5455 (15),0.7138 (10),0.6184 (12),
435995,zswvivi,0.6492 (13),0.5441 (16),0.7138 (10),0.6175 (13),
436004,qshuang,0.6008 (25),0.4980 (29),0.7942 (6),0.6121 (14),
436095,biggoka,0.5651 (31),0.4731 (33),0.8489 (1),0.6076 (15),
436002,vpatti,0.5982 (26),0.4959 (30),0.7814 (8),0.6067 (16),
436137,nishnik,0.6659 (9),0.5528 (12),0.6471 (18),0.5962 (17),
436013,YinLi,0.6837 (5),0.6040 (6),0.5884 (22),0.5961 (18),
436421,wicho,0.6441 (14),0.5426 (17),0.6559 (16),0.5939 (19),
436106,lanman,0.5957 (27),0.4936 (31),0.7428 (9),0.5931 (20),
435856,usmanahmed189,0.6173 (21),0.5129 (26),0.7010 (11),0.5924 (21),
435816,eddearden,0.6352 (17),0.5321 (19),0.6656 (15),0.5914 (22),
436141,s1998,0.6288 (18),0.5259 (21),0.6527 (17),0.5825 (23),
436115,muakasan,0.6173 (21),0.5135 (25),0.6720 (14),0.5822 (24),
435942,lyreact,0.6276 (19),0.5251 (22),0.6399 (20),0.5768 (25),
435572,brajagpl,0.6390 (16),0.5402 (18),0.6045 (21),0.5706 (26),
436116,LuiseD,0.5944 (28),0.4914 (32),0.6431 (19),0.5571 (27),
436556,ereday,0.6429 (15),0.5552 (10),0.5016 (27),0.5270 (28),
436087,evrog,0.6033 (24),0.5000 (28),0.5563 (24),0.5266 (29),
436283,UCDCC,0.6824 (6),0.6449 (3),0.4437 (30),0.5257 (30),
436076,rdesh26,0.5561 (34),0.4504 (35),0.5402 (26),0.4912 (31),
435445,Helenailse,0.6135 (22),0.5143 (24),0.4630 (28),0.4873 (32),
436280,dragoni,0.5038 (37),0.4085 (41),0.5595 (23),0.4722 (33),
436111,Zhenduo,0.5115 (35),0.4122 (39),0.5434 (25),0.4688 (34),
436127,WegdanGhazi,0.5089 (36),0.4102 (40),0.5434 (25),0.4675 (35),
435901,liuqiuyue,0.5804 (30),0.4690 (34),0.4373 (31),0.4526 (36),
436271,think_blue,0.5612 (33),0.4473 (36),0.4502 (29),0.4487 (37),
435662,Bilal.ghanem,0.5638 (32),0.4464 (37),0.4148 (33),0.4300 (38),
436078,YNU-HPCC,0.5089 (36),0.3912 (42),0.4277 (32),0.4086 (39),
436134,Qitay,0.6199 (20),0.5496 (14),0.2315 (35),0.3258 (40),
435743,jabalazs,0.3520 (38),0.2568 (43),0.3344 (34),0.2905 (41),
435261,milkstout,0.5842 (29),0.4272 (38),0.1415 (36),0.2126 (42),
435822,sabino,0.6276 (19),0.8800 (1),0.0707 (37),0.1310 (43),
