submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439349,venkatesh-1729,0.798 (1),0.666 (1),,,,,,,,,,,
438639,psyml,0.761 (2),0.639 (2),,,,,,,,,,,
466305,dominikstanojevic,0.740 (3),0.616 (3),,,,,,,,,,,
439905,anasteam,0.723 (7),0.574 (7),,,,,,,,,,,
439099,minok00,0.726 (6),0.539 (11),,,,,,,,,,,
445038,wangmin,0.727 (5),0.557 (10),,,,,,,,,,,
439546,mhjabreel,0.711 (9),0.587 (5),,,,,,,,,,,
439143,danielfl,0.721 (8),0.531 (13),,,,,,,,,,,
440376,Habibeh,0.731 (4),0.608 (4),,,,,,,,,,,
439154,jogonba2,0.700 (10),0.582 (6),,,,,,,,,,,
437594,lanman,0.697 (11),0.558 (8),,,,,,,,,,,
437726,CZWin32768,0.665 (13),0.557 (9),,,,,,,,,,,
438767,yoyo,0.671 (12),0.538 (12),,,,,,,,,,,
440637,dmikrav,0.635 (14),0.517 (14),,,,,,,,,,,
437598,ISCLAB,0.634 (15),0.468 (16),,,,,,,,,,,
439843,ruwanw,0.629 (16),0.502 (15),,,,,,,,,,,
439367,Amrita_student,0.262 (17),0.256 (17),,,,,,,,,,,
440157,bicici,0.233 (18),0.237 (18),,,,,,,,,,,
439459,thelonewolf190694,0.090 (19),0.111 (19),,,,,,,,,,,
440357,dragoni,0.049 (20),0.033 (21),,,,,,,,,,,
439130,AlexandraFlescan,-0.014 (21),0.036 (20),,,,,,,,,,,
953666,no_name,-999.999 (22),-999.999 (22),,,,,,,,,,,
934486,alvarosness,-999.999 (22),-999.999 (22),,,,,,,,,,,
787552,sohaelshafey,-999.999 (22),-999.999 (22),,,,,,,,,,,
904483,ThalesSolutions,-999.999 (22),-999.999 (22),,,,,,,,,,,
844598,Olha_Kaminska,-999.999 (22),-999.999 (22),,,,,,,,,,,
839896,wbaker23,-999.999 (22),-999.999 (22),,,,,,,,,,,
758675,Annony_Mouse,-999.999 (22),-999.999 (22),,,,,,,,,,,
684559,luca.campanella,-999.999 (22),-999.999 (22),,,,,,,,,,,
654867,rajdeep345,-999.999 (22),-999.999 (22),,,,,,,,,,,
645164,sriyash421,-999.999 (22),-999.999 (22),,,,,,,,,,,
624240,lpc,-999.999 (22),-999.999 (22),,,,,,,,,,,
618910,eunsungyoon,-999.999 (22),-999.999 (22),,,,,,,,,,,
614142,gosiazdunik,-999.999 (22),-999.999 (22),,,,,,,,,,,
586542,IbraheemTuffaha,-999.999 (22),-999.999 (22),,,,,,,,,,,
520086,yyyura,-999.999 (22),-999.999 (22),,,,,,,,,,,
519527,zimkjh,-999.999 (22),-999.999 (22),,,,,,,,,,,
519269,Seekers7,-999.999 (22),-999.999 (22),,,,,,,,,,,
515097,Zupun7,-999.999 (22),-999.999 (22),,,,,,,,,,,
512868,hammadfahim,-999.999 (22),-999.999 (22),,,,,,,,,,,
496663,Ruchira,-999.999 (22),-999.999 (22),,,,,,,,,,,
495100,TharinduGayan,-999.999 (22),-999.999 (22),,,,,,,,,,,
494852,Zupun_Ranatunge,-999.999 (22),-999.999 (22),,,,,,,,,,,
437810,hhaddad,-999.999 (22),-999.999 (22),,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (22),-999.999 (22),,,,,,,,,,,
441651,ad26kt,-999.999 (22),-999.999 (22),,,,,,,,,,,
439087,hebe,-999.999 (22),-999.999 (22),,,,,,,,,,,
439109,NAVEEN.J.R,-999.999 (22),-999.999 (22),,,,,,,,,,,
439145,utpalsikdar,-999.999 (22),-999.999 (22),,,,,,,,,,,
439196,NAGOUDI,-999.999 (22),-999.999 (22),,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (22),-999.999 (22),,,,,,,,,,,
451204,prabod,-999.999 (22),-999.999 (22),,,,,,,,,,,
469089,bakrianoo,-999.999 (22),-999.999 (22),,,,,,,,,,,
469166,Malak,-999.999 (22),-999.999 (22),,,,,,,,,,,
475341,nvidia,-999.999 (22),-999.999 (22),,,,,,,,,,,
submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439546,mhjabreel,0.675 (2),0.560 (1),,,,,,,,,,,
469166,Malak,0.680 (1),0.557 (2),,,,,,,,,,,
439459,thelonewolf190694,0.269 (4),0.111 (5),,,,,,,,,,,
439367,Amrita_student,0.393 (3),0.282 (3),,,,,,,,,,,
440157,bicici,0.238 (5),0.168 (4),,,,,,,,,,,
953666,no_name,-999.999 (6),-999.999 (6),,,,,,,,,,,
934486,alvarosness,-999.999 (6),-999.999 (6),,,,,,,,,,,
787552,sohaelshafey,-999.999 (6),-999.999 (6),,,,,,,,,,,
904483,ThalesSolutions,-999.999 (6),-999.999 (6),,,,,,,,,,,
844598,Olha_Kaminska,-999.999 (6),-999.999 (6),,,,,,,,,,,
839896,wbaker23,-999.999 (6),-999.999 (6),,,,,,,,,,,
758675,Annony_Mouse,-999.999 (6),-999.999 (6),,,,,,,,,,,
684559,luca.campanella,-999.999 (6),-999.999 (6),,,,,,,,,,,
654867,rajdeep345,-999.999 (6),-999.999 (6),,,,,,,,,,,
645164,sriyash421,-999.999 (6),-999.999 (6),,,,,,,,,,,
624240,lpc,-999.999 (6),-999.999 (6),,,,,,,,,,,
618910,eunsungyoon,-999.999 (6),-999.999 (6),,,,,,,,,,,
614142,gosiazdunik,-999.999 (6),-999.999 (6),,,,,,,,,,,
586542,IbraheemTuffaha,-999.999 (6),-999.999 (6),,,,,,,,,,,
520086,yyyura,-999.999 (6),-999.999 (6),,,,,,,,,,,
519527,zimkjh,-999.999 (6),-999.999 (6),,,,,,,,,,,
519269,Seekers7,-999.999 (6),-999.999 (6),,,,,,,,,,,
515097,Zupun7,-999.999 (6),-999.999 (6),,,,,,,,,,,
