submission_pk,User,MRAE,RMSE
445628,photi,0.0144 (1),14.2147 (1),
442023,contstriver,0.0154 (2),15.2766 (2),
442028,ChangC,0.0160 (3),16.6866 (3),
444568,FayezLahoud,0.0172 (4),17.4063 (4),
445649,baran,0.0190 (5),18.9942 (7),
445614,sr402,0.0219 (6),20.6366 (8),
445039,zrfan,0.0222 (7),17.8494 (5),
439423,chs,0.0229 (8),23.4236 (9),
445600,prakhar.amba,0.0236 (9),18.8442 (6),
441291,kmkim,0.0383 (10),29.3028 (11),
443751,kailigo,0.0497 (11),28.3525 (10),
438464,eubear,0.1480 (12),110.6742 (12),
