submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
445636,fks,22.82 (1),0.74 (1),9.11 (12),0.00 (2),1.00 (1),
445625,viterbi,22.44 (2),0.72 (2),5.00 (15),0.00 (2),0.00 (2),
444677,MCPRL,22.39 (3),0.72 (3),5.00 (15),0.00 (2),0.00 (2),
445452,ranjanisi,22.18 (4),0.68 (10),6.04 (13),1.00 (1),1.00 (1),
445460,ecsuiplab,22.07 (5),0.67 (11),12.53 (9),1.00 (1),0.00 (2),
445571,blackAI,22.01 (6),0.71 (4),1.00 (22),0.00 (2),0.00 (2),
445052,bchanda,21.97 (7),0.68 (9),20.06 (5),1.00 (1),1.00 (1),
444935,zhaoruhao,21.93 (8),0.68 (7),5.24 (14),0.00 (2),0.00 (2),
445641,Phineas813,21.69 (9),0.68 (6),2.77 (17),0.00 (2),0.00 (2),
445577,rutgerssprinter,21.55 (10),0.71 (5),1.85 (19),0.00 (2),0.00 (2),
439920,sehwan,21.16 (11),0.67 (13),30.00 (4),0.00 (2),0.00 (2),
445389,AISeg,20.80 (12),0.67 (12),2.77 (17),0.00 (2),0.00 (2),
445509,TMAC,20.03 (13),0.64 (16),1.30 (20),0.00 (2),0.00 (2),
444429,AnilGenc,19.92 (14),0.64 (17),2.10 (18),0.00 (2),0.00 (2),
441476,iim_lab,19.70 (15),0.68 (8),1.04 (21),0.00 (2),0.00 (2),
445563,Steven911,19.28 (16),0.64 (14),9.20 (11),0.00 (2),0.00 (2),
439744,liujl09,19.00 (17),0.64 (15),5.00 (15),1.00 (1),1.00 (1),
441637,wanglichen,18.35 (18),0.64 (18),15.00 (7),0.00 (2),0.00 (2),
445632,phunghx,17.46 (19),0.63 (22),13.13 (8),0.00 (2),0.00 (2),
442230,IMCL,17.41 (20),0.62 (24),4.68 (16),0.00 (2),1.00 (1),
444347,du757372199,16.76 (21),0.64 (20),1.00 (22),0.00 (2),1.00 (1),
445062,DemirAdil,16.25 (22),0.63 (23),20.00 (6),1.00 (1),0.00 (2),
441030,agaldran,15.93 (23),0.64 (19),41.17 (3),1.00 (1),0.00 (2),
442814,MKFMIKU,15.70 (24),0.63 (21),10.00 (10),0.00 (2),0.00 (2),
439453,yulunzhang,15.10 (25),0.59 (25),1742.00 (1),1.00 (1),0.00 (2),
439837,san_santra,13.63 (26),0.52 (26),1248.50 (2),1.00 (1),0.00 (2),
