submission_pk,User,Prediction score,Duration
519466,chenjun,0.6005 (1),0.00 (60),
485023,Ali_iDST_Deep_Learning,0.5915 (2),0.00 (54),
502928,ddcm,0.5620 (3),0.00 (63),
458538,JWFrank,0.5358 (4),0.00 (39),
618300,LanZhu,0.5324 (5),0.00 (49),
458113,TIANCHAO,0.5264 (6),0.00 (43),
621773,sunday-D,0.5094 (7),0.00 (67),
458482,Queuecumber,0.5059 (8),0.00 (17),
458485,rakhlin,0.4940 (9),0.00 (27),
457993,AutonomousSatelliteDrivers,0.4927 (10),0.00 (6),
508779,zhanglz,0.4862 (11),0.00 (58),
762871,lyttok,0.4819 (12),0.00 (44),
579816,LoveShuffle,0.4789 (13),0.00 (48),
458452,vivala,0.4786 (14),0.00 (18),
458577,adavydow,0.4764 (15),0.00 (8),
458445,maybe_forever,0.4751 (16),0.00 (42),
529977,DacianYU,0.4717 (17),0.00 (28),
507853,stupidog,0.4697 (18),0.00 (62),
604748,hui,0.4673 (19),0.00 (46),
458501,gpascualg,0.4666 (20),0.00 (1),
454270,jxd,0.4654 (21),0.00 (33),
458566,albertMasnou,0.4595 (22),0.00 (7),
622908,ZLei,0.4577 (23),0.00 (66),
491156,Lunhao,0.4539 (24),0.00 (55),
961559,medea425,0.4443 (25),0.00 (57),
457177,maksimovka,0.4427 (26),0.00 (19),
458062,yujheli,0.4427 (27),0.00 (5),
561249,Bodhiswatta,0.4388 (28),0.00 (34),
482982,yannx,0.4364 (29),0.00 (56),
458350,santi.segui,0.4318 (30),0.00 (40),
513049,hongbin_wang,0.4294 (31),0.00 (59),
456370,markmcd2018,0.4273 (32),0.00 (14),
457041,weiquanh,0.4262 (33),0.00 (26),
454212,xindou,0.4261 (34),0.00 (24),
816355,bingolalala,0.4239 (35),0.00 (35),
522708,wangmj,0.4178 (36),0.00 (48),
513602,qwerty6868,0.4093 (37),0.00 (46),
544650,bohaohuang,0.4084 (38),0.00 (41),
513998,jlljll123,0.4082 (39),0.00 (47),
995235,ma980523,0.4074 (40),0.00 (45),
456063,Shiron,0.4067 (41),0.00 (12),
509634,zhangbin0917,0.4056 (42),0.00 (61),
457476,RM,0.4044 (43),0.00 (4),
1118435,wqx022,0.4023 (44),0.00 (53),
821401,lyf,0.3886 (45),0.00 (25),
1120132,sidd_plaxious,0.3880 (46),0.00 (32),
741156,guoshu6699,0.3830 (47),0.00 (38),
495079,jiaxue,0.3787 (48),0.00 (65),
454283,geoAIgo,0.3780 (49),0.00 (31),
458391,psc_y,0.3726 (50),0.00 (22),
455499,Penn,0.3710 (51),0.00 (13),
456199,gooddeeds,0.3694 (52),0.00 (2),
458534,darioaugusto,0.3688 (53),0.00 (36),
508188,clt,0.3687 (54),0.00 (64),
453395,vamshiteja,0.3594 (55),0.00 (11),
457953,yangchris11,0.3593 (56),0.00 (38),
455421,MonsterMax,0.3420 (57),0.00 (16),
456869,malkin,0.3363 (58),0.00 (10),
584970,hmchuong1108,0.3342 (59),0.00 (50),
638209,yaoyao,0.2966 (60),0.00 (65),
458573,Mohamed-Kasem,0.2925 (61),0.00 (20),
458524,Daikon,0.2812 (62),0.00 (37),
457911,DaleWard,0.2767 (63),0.00 (29),
454233,nd367,0.2350 (64),0.00 (23),
454511,sonu,0.2125 (65),0.00 (15),
458556,versag,0.1083 (66),0.00 (51),
454430,dBisharad,0.0950 (67),0.00 (30),
457626,kurbanov.re,0.0835 (68),0.00 (9),
1112305,ZeyuXu,NaN (69),0.00 (52),
927575,avinash_nesac,NaN (69),0.00 (51),
454991,sshekhar,NaN (69),0.00 (21),
454508,Fromandtozh,NaN (69),0.00 (3),
