submission_pk,User,Evidence F1,Label Accuracy,FEVER Score
472380,chaonan99,0.5296 (3),0.6821 (1),0.6421 (1),
472631,tyoneda,0.3497 (12),0.6762 (2),0.6252 (2),
472622,littsler,0.3697 (9),0.6546 (3),0.6158 (3),
472543,papelo,0.6485 (1),0.6108 (4),0.5736 (4),
472460,chidey,0.2969 (14),0.5972 (5),0.4994 (5),
472666,Tuhin,0.3533 (11),0.5745 (6),0.4906 (6),
472248,nanjiang,0.5853 (2),0.5012 (14),0.4342 (7),
472318,wotto,0.1960 (17),0.5415 (9),0.4077 (8),
472477,tomoki,0.1649 (21),0.4713 (18),0.3881 (9),
472458,nayeon7lee,0.4912 (4),0.5125 (12),0.3859 (10),
472250,JanK,0.4210 (6),0.5002 (15),0.3850 (11),
472668,anikethjr,0.4277 (5),0.5136 (11),0.3833 (12),
472662,jg,0.2087 (16),0.5397 (10),0.3713 (13),
472017,pyro,0.2962 (15),0.4348 (21),0.3658 (14),
472624,SIRIUS,0.3019 (13),0.4887 (16),0.3655 (15),
472404,hanshan,0.0000 (23),0.3345 (23),0.3020 (16),
472605,lisizhen,0.3973 (7),0.4538 (19),0.2922 (17),
472066,hz66pasa,0.3722 (8),0.3333 (24),0.2867 (18),
472658,guancheng_ren,0.1241 (22),0.5080 (13),0.2840 (19),
472014,jamesthorne,0.1826 (18),0.4884 (17),0.2745 (20),
472660,ankur-umbc,0.3695 (10),0.4489 (20),0.2376 (21),
472597,m6.ub.6m.bu,0.1665 (20),0.5732 (7),0.2289 (22),
472599,ubub.bubu.61,0.1668 (19),0.5542 (8),0.2171 (23),
472589,mithunpaul08,0.1826 (18),0.3694 (22),0.1900 (24),
