submission_pk,User,Accuracy (80% percentile),Accuracy (median),Accuracy (mean),Duration
475518,alheld,0.9348 (1),0.8918 (1),0.8812 (1),0.00 (4),
475516,smehta,0.9187 (2),0.8756 (2),0.8664 (2),0.00 (1),
475538,axcel,0.9167 (3),0.8497 (6),0.8184 (7),0.00 (2),
475540,srettie,0.9092 (4),0.8635 (4),0.8556 (4),0.00 (8),
475539,ekhoda,0.9066 (5),0.8646 (3),0.8564 (3),0.00 (3),
475532,DonDraper,0.8945 (6),0.8479 (7),0.8395 (5),0.00 (5),
475512,Raskolnikov,0.8937 (7),0.8498 (5),0.8385 (6),0.00 (9),
475537,mmajewsk,0.7825 (8),0.6633 (8),0.6602 (8),0.00 (7),
475520,JTan,0.7513 (9),0.5141 (9),0.4905 (9),0.00 (6),
475545,wellatiger,0.3583 (10),0.1946 (10),0.2173 (10),0.00 (10),
475521,whoami,0.0000 (11),0.0000 (11),0.0000 (11),0.00 (11),
