submission_pk,User,PSNR,SSIM,Runtime per image [s],Parameters,Extra Data [1] / No Extra Data [0]
490998,cmsp-ct,29.23 (1),0.8254 (1),1.580 (11),2494593.0 (12),1.0 (1),
489220,wangliwen,29.20 (2),0.8246 (2),1.581 (12),2372539.0 (11),1.0 (1),
492972,WangChaofeng,29.20 (3),0.8237 (3),1.296 (10),1387258.0 (8),0.0 (2),
493808,zheng222,29.10 (4),0.8216 (4),0.100 (4),893936.0 (2),1.0 (1),
494063,BearMaxZJU,29.02 (5),0.8201 (5),0.144 (5),1185219.0 (5),0.0 (2),
492538,XXH,29.00 (6),0.8195 (7),0.150 (6),1357627.0 (6),1.0 (1),
483073,MSRResNet-baseline,29.00 (7),0.8199 (6),0.170 (7),1517571.0 (9),1.0 (1),
494449,neptuneai,28.96 (8),0.8184 (8),0.010 (2),1591963.0 (10),0.0 (2),
494016,q935970314,28.92 (9),0.8172 (9),0.090 (3),1127064.0 (3),1.0 (1),
492397,pplang,28.89 (10),0.8171 (10),0.170 (7),1517571.0 (9),0.0 (2),
494306,suen,28.88 (11),0.8168 (12),0.324 (8),592809.0 (1),0.0 (2),
494298,MISL,28.85 (12),0.8169 (11),0.170 (7),1517571.0 (9),0.0 (2),
494607,ghgh3269,28.75 (13),0.8132 (13),0.610 (9),1369883.0 (7),0.0 (2),
490145,GwanSiu,28.71 (14),0.8126 (14),0.009 (1),1157763.0 (4),1.0 (1),
