submission_pk,User,recognition rate
486910,catla,0.906300 (1),
658353,tanxin,0.903000 (2),
493581,komachi,0.893500 (3),
493248,blue0620,0.889500 (4),
655378,kin,0.880300 (5),
491416,tangyiping,0.874100 (6),
493387,suzuki.t,0.844000 (7),
493534,takedarts,0.832700 (8),
501286,xiechun,0.802500 (9),
493420,hrokamo,0.776400 (10),
501154,xiechun2,0.771900 (11),
493528,ITakahashi,0.768300 (12),
493586,moriatyyuan,0.756000 (13),
492442,HU_XIAORAN,0.738800 (14),
492675,takedak,0.720000 (15),
493507,morimori,0.691500 (16),
492930,ItoChihiro,0.686500 (17),
493536,ntuanhung,0.683700 (18),
492559,ueki,0.657700 (19),
497511,YukiNiino,0.647300 (20),
493373,h_o_t,0.623000 (21),
483881,sandy2008,0.583000 (22),
491019,mys3_74,0.576000 (23),
513062,wonderful_tonight,0.555800 (24),
493216,YusukeKyokawa,0.512500 (25),
493550,b1016042,0.506800 (26),
500826,takeot,0.497400 (27),
501273,MatchaAzuki,0.477900 (28),
501024,shin,0.460800 (29),
501313,ShotaroNakamura,0.429000 (30),
493045,verlier,0.355000 (31),
495659,owens,0.321800 (32),
501295,sa298ka,0.316800 (33),
501292,ishikaa,0.265300 (34),
495338,gungkeiji,0.264700 (35),
501179,maekawaaa,0.258300 (36),
500982,soyln,0.258000 (37),
501279,auau,0.254700 (38),
501186,tkd_image,0.254700 (38),
493501,gotoy,0.233300 (39),
495327,tttamaki,0.224200 (40),
500455,Nao7823,0.107900 (41),
496130,rayohielo,0.056300 (42),
