submission_pk,User,Global Mean,J-Mean,J-Recall,J-Decay,F-Mean,F-Recall,F-Decay
913253,pgsmall,0.619 (1),0.577 (1),0.671 (1),0.100 (6),0.660 (2),0.711 (2),0.134 (6),
1030030,yjl376,0.612 (2),0.561 (2),0.635 (3),-0.002 (16),0.664 (1),0.719 (1),0.005 (16),
613103,tfzhou.ai,0.598 (3),0.560 (3),0.651 (2),0.078 (7),0.637 (4),0.684 (5),0.110 (7),
764260,linhj,0.586 (4),0.525 (5),0.598 (6),0.007 (15),0.648 (3),0.702 (3),0.016 (14),
619814,shubhika,0.579 (5),0.529 (4),0.604 (4),0.167 (2),0.630 (5),0.695 (4),0.205 (2),
813888,akashpalrecha,0.549 (6),0.501 (7),0.561 (8),0.147 (3),0.597 (6),0.669 (6),0.192 (3),
611967,FTW,0.544 (7),0.514 (6),0.599 (5),-0.010 (17),0.574 (9),0.616 (9),0.000 (17),
818920,cornmander,0.543 (8),0.492 (9),0.543 (9),0.133 (5),0.595 (7),0.656 (7),0.179 (5),
977738,brianzhang12,0.542 (9),0.499 (8),0.568 (7),0.041 (11),0.585 (8),0.634 (8),0.055 (12),
732220,lucasdu,0.494 (10),0.456 (10),0.527 (10),0.045 (10),0.531 (11),0.569 (13),0.072 (10),
618798,sabarim,0.486 (11),0.439 (11),0.480 (13),0.182 (1),0.533 (10),0.582 (11),0.235 (1),
546460,Ali2500,0.480 (12),0.433 (12),0.480 (12),0.039 (12),0.527 (12),0.586 (10),0.077 (9),
613890,free_yani,0.462 (13),0.412 (15),0.464 (15),0.133 (4),0.512 (13),0.570 (12),0.182 (4),
514438,janysunny,0.456 (14),0.421 (13),0.485 (11),-0.026 (19),0.490 (15),0.515 (15),-0.026 (20),
1015643,cscoban,0.455 (15),0.418 (14),0.479 (14),0.051 (8),0.493 (14),0.523 (14),0.081 (8),
614769,ntcong,0.428 (16),0.386 (16),0.452 (16),0.009 (14),0.470 (16),0.500 (16),0.037 (13),
959065,adminaad,0.407 (17),0.368 (17),0.405 (17),0.050 (9),0.446 (17),0.485 (17),0.071 (11),
1003943,lily0211,0.373 (18),0.350 (18),0.393 (18),-0.038 (21),0.396 (18),0.411 (18),-0.046 (21),
1059167,chenneyZhang,0.350 (19),0.327 (19),0.370 (19),-0.023 (18),0.373 (19),0.391 (19),-0.016 (18),
914430,syjbrenda98,0.247 (20),0.239 (20),0.258 (20),0.016 (13),0.256 (21),0.272 (20),0.014 (15),
777469,sundaram.muthu,0.227 (21),0.182 (21),0.183 (21),-0.038 (20),0.272 (20),0.269 (21),-0.016 (19),
