submission_pk,User,F1-score,Precision,True Positive Rate,False Positives Count
706898,bpairet,0.92 (1),1.00 (1),0.85 (1),0.00 (1),
685825,of,0.92 (1),1.00 (1),0.85 (1),0.00 (1),
562120,jruffio,0.87 (2),0.89 (4),0.85 (1),2.00 (3),
540384,CDahlqvist,0.83 (3),0.94 (2),0.75 (2),1.00 (2),
539211,amueller,0.69 (4),0.92 (3),0.55 (4),1.00 (2),
566082,dino.mesa,0.56 (5),0.75 (5),0.45 (5),3.00 (4),
702512,Desgrange,0.47 (6),0.57 (7),0.40 (6),6.00 (6),
497806,exoim_baseline,0.45 (7),0.64 (6),0.35 (7),4.00 (5),
702215,MattSam,0.29 (8),0.36 (8),0.25 (8),9.00 (7),
699234,nenasedk,0.15 (9),0.08 (9),0.65 (3),141.00 (9),
699930,Faustine,0.03 (10),0.02 (11),0.35 (7),374.00 (10),
678220,Thomas_Fuhrmann,0.03 (11),0.02 (10),0.05 (9),48.00 (8),
submission_pk,User,F1-score,Precision,True Positive Rate,False Positives Count
540384,CDahlqvist,- (-),,,,
685825,of,- (-),,,,
699234,nenasedk,- (-),,,,
702215,MattSam,- (-),,,,
562120,jruffio,- (-),,,,
539211,amueller,- (-),,,,
678220,Thomas_Fuhrmann,- (-),,,,
566082,dino.mesa,- (-),,,,
497806,exoim_baseline,- (-),,,,
702512,Desgrange,- (-),,,,
706898,bpairet,- (-),,,,
699930,Faustine,- (-),,,,
