submission_pk,User,RE_ignore_annotated_F1,RE_ignore_distant_F1,RE_F1,Evi_F1
1073593,NCRL,0.658 (1),0.616 (1),0.675 (2),0.000 (30),
1020342,KD-Roberta-ensemble,0.658 (2),0.610 (2),0.678 (1),0.000 (30),
1020332,KD-Roberta,0.652 (3),0.602 (4),0.673 (3),0.000 (30),
1136968,lmazxn10000a,0.649 (4),0.601 (6),0.671 (4),0.000 (30),
969305,PAEE,0.645 (5),0.602 (3),0.665 (5),0.000 (30),
1025831,Esfan,0.641 (6),0.599 (7),0.661 (6),0.000 (30),
1097341,kingsundad,0.639 (7),0.594 (8),0.659 (9),0.000 (30),
1059286,LWL,0.638 (8),0.592 (9),0.659 (7),0.000 (30),
678410,SSAN_ADAPT,0.638 (9),0.586 (14),0.659 (8),0.000 (30),
963627,SAIS,0.634 (10),0.601 (5),0.651 (11),0.557 (1),
873175,XBERT,0.633 (11),0.577 (17),0.657 (10),0.000 (30),
1124173,rollingdeep,0.633 (12),0.588 (12),0.651 (12),0.000 (30),
969306,PAEE_roberta_,0.631 (13),0.588 (13),0.651 (13),0.000 (30),
916081,Veronicium,0.628 (14),0.591 (10),0.648 (15),0.530 (2),
774578,DocuNet,0.627 (15),0.589 (11),0.646 (16),0.000 (30),
872875,xpxpx,0.625 (16),0.572 (23),0.649 (14),0.000 (30),
1092626,futuroscope,0.623 (17),0.579 (15),0.644 (18),0.000 (30),
1131910,ZL315120310,0.622 (18),0.576 (20),0.645 (17),0.000 (30),
734939,BOE_NLPer,0.619 (19),0.577 (16),0.639 (19),0.000 (30),
883433,soyamilk,0.618 (20),0.568 (26),0.639 (20),0.000 (30),
1020450,captainlss2,0.617 (21),0.575 (21),0.638 (22),0.000 (30),
963828,XingYin,0.617 (22),0.576 (19),0.639 (21),0.000 (30),
870626,KU_NLP,0.615 (23),0.576 (18),0.635 (24),0.000 (30),
1130233,Sogeking,0.614 (24),0.565 (33),0.636 (23),0.000 (30),
678045,ATLOP,0.614 (25),0.574 (22),0.634 (27),0.000 (30),
883571,LEGR-YijunLiu,0.613 (26),0.568 (28),0.635 (25),0.000 (30),
887291,HytnC,0.612 (27),0.563 (35),0.634 (26),0.000 (30),
841802,hancangfei,0.610 (28),0.571 (24),0.629 (30),0.000 (30),
962325,BerryWang,0.609 (29),0.570 (25),0.630 (29),0.000 (30),
847319,YunMao,0.608 (30),0.566 (32),0.628 (34),0.000 (30),
1139028,wlCa,0.608 (31),0.568 (27),0.629 (31),0.000 (30),
938326,OrderRE,0.608 (32),0.566 (31),0.629 (32),0.000 (30),
1056727,black1,0.607 (33),0.567 (30),0.629 (33),0.000 (30),
770626,RJ666,0.607 (34),0.568 (29),0.628 (36),0.000 (30),
1126987,red_velvet_cake,0.604 (35),0.563 (36),0.626 (37),0.524 (3),
955320,sq123,0.604 (36),0.554 (49),0.630 (28),0.000 (30),
1125640,msy,0.603 (37),0.557 (44),0.628 (35),0.000 (30),
613014,GAIN,0.603 (37),0.557 (44),0.628 (35),0.000 (30),
616255,anon123123,0.603 (38),0.557 (43),0.625 (38),0.505 (6),
834934,sam1373,0.602 (39),0.560 (38),0.623 (42),0.520 (4),
621445,nttmac,0.602 (40),0.555 (48),0.623 (41),0.000 (30),
1123528,RHliu,0.601 (41),0.564 (34),0.620 (44),0.000 (30),
907361,Test6464,0.601 (42),0.557 (45),0.625 (39),0.000 (30),
596417,BigOrange,0.601 (43),0.548 (63),0.623 (40),0.000 (30),
711761,KevinKune,0.599 (44),0.559 (41),0.620 (45),0.000 (30),
782203,zkt,0.599 (45),0.559 (39),0.620 (43),0.000 (30),
1134501,backup3,0.598 (46),0.559 (40),0.619 (47),0.000 (30),
1037714,lulululu127,0.598 (47),0.562 (37),0.618 (49),0.000 (30),
1106534,W_NLP,0.598 (48),0.557 (46),0.620 (46),0.516 (5),
1093043,NLP_W,0.596 (49),0.558 (42),0.617 (52),0.000 (30),
871269,yijunliu,0.596 (50),0.554 (50),0.616 (53),0.000 (30),
835383,thdlee,0.595 (51),0.553 (53),0.617 (50),0.000 (30),
