submission_pk,User,Rank,Score 1,Score 2,Score 3,Score 4
574875,mmmm,0.823 (1),0.724 (1),0.819 (1),0.862 (1),0.887 (1),
587785,gmorio,0.814 (2),0.715 (2),0.811 (3),0.851 (7),0.880 (4),
571527,sahild,0.810 (3),0.694 (5),0.812 (2),0.854 (3),0.879 (5),
727575,ZimoYin,0.806 (4),0.693 (6),0.797 (7),0.853 (5),0.882 (2),
571238,ashatilov,0.805 (5),0.677 (11),0.803 (4),0.858 (2),0.881 (3),
862767,shallowLearner,0.801 (6),0.689 (9),0.800 (5),0.841 (12),0.875 (6),
571294,king001,0.799 (7),0.677 (11),0.799 (6),0.850 (8),0.870 (10),
570626,Sattiy,0.799 (8),0.676 (12),0.797 (7),0.850 (9),0.871 (9),
571533,unixlong,0.798 (9),0.674 (13),0.797 (7),0.852 (6),0.868 (13),
571391,giftai,0.798 (10),0.674 (13),0.793 (8),0.853 (4),0.870 (10),
573935,caspianR,0.796 (11),0.690 (8),0.780 (13),0.840 (14),0.873 (7),
574273,Youngyangi,0.796 (12),0.688 (10),0.783 (10),0.840 (13),0.872 (8),
571309,toughhou,0.796 (13),0.699 (3),0.782 (11),0.833 (17),0.870 (11),
570754,wolfboww,0.794 (14),0.696 (4),0.781 (12),0.831 (19),0.868 (14),
570223,wolfboww,0.794 (14),0.696 (4),0.781 (12),0.831 (19),0.868 (14),
586511,darnox,0.788 (15),0.669 (14),0.781 (12),0.835 (15),0.865 (16),
569253,daidai,0.785 (16),0.654 (17),0.775 (16),0.845 (10),0.867 (15),
559246,mmmm,0.785 (17),0.642 (19),0.787 (9),0.841 (11),0.869 (12),
575117,alonzorz,0.783 (18),0.692 (7),0.766 (20),0.822 (25),0.853 (22),
574888,aashsach,0.781 (19),0.661 (15),0.777 (15),0.830 (20),0.859 (19),
569725,new_bill__,0.781 (20),0.655 (16),0.774 (17),0.834 (16),0.862 (17),
574928,tnameh,0.779 (21),0.641 (20),0.778 (14),0.832 (18),0.865 (16),
608534,AnselYang,0.778 (22),0.642 (19),0.780 (13),0.831 (19),0.861 (18),
567892,Dharani,0.774 (23),0.651 (18),0.766 (21),0.824 (23),0.857 (21),
591328,ChangjieLi,0.773 (24),0.637 (21),0.771 (18),0.825 (22),0.861 (18),
574084,AnselYang,0.767 (25),0.627 (22),0.769 (19),0.823 (24),0.850 (25),
575377,Shuan,0.767 (26),0.619 (23),0.764 (22),0.828 (21),0.858 (20),
559247,Holen,0.758 (27),0.627 (22),0.749 (24),0.809 (28),0.848 (26),
568888,zz,0.756 (28),0.610 (24),0.749 (24),0.812 (27),0.853 (22),
573998,KGlocker,0.754 (29),0.596 (27),0.752 (23),0.815 (26),0.851 (24),
605392,rajiur,0.748 (30),0.599 (26),0.738 (25),0.806 (30),0.851 (23),
585156,DaweiLiao,0.747 (31),0.607 (25),0.731 (27),0.802 (31),0.847 (27),
615397,cskanani,0.746 (32),0.588 (28),0.737 (26),0.807 (29),0.853 (22),
742232,vibhav.a,0.716 (33),0.546 (29),0.702 (28),0.788 (32),0.827 (29),
559244,David3,0.705 (34),0.514 (30),0.693 (29),0.784 (33),0.830 (28),
854961,gltran,0.685 (35),0.513 (31),0.661 (30),0.761 (34),0.805 (30),
587441,bigkunzi,0.666 (36),0.472 (33),0.651 (31),0.748 (35),0.792 (31),
575338,phossu,0.659 (37),0.490 (32),0.638 (32),0.731 (36),0.775 (32),
756569,eugeneavd,0.543 (38),0.389 (34),0.525 (33),0.601 (37),0.657 (33),
