submission_pk,User,Subtask A Accuracy,Subtask B Accuracy,Subtask C BLEU
558105,jession,97.0 (1),0.0 (1),0.0 (1),
559198,im0qianqian,96.7 (2),0.0 (1),0.0 (1),
559256,xlx,96.4 (3),0.0 (1),0.0 (1),
558611,nlpx,96.4 (3),0.0 (1),0.0 (1),
558633,Solomon,96.0 (4),0.0 (1),0.0 (1),
559255,zellford,95.9 (5),0.0 (1),0.0 (1),
559254,josefjon,95.8 (6),0.0 (1),0.0 (1),
556668,olenet,95.5 (7),0.0 (1),0.0 (1),
559491,huangxt39,95.3 (8),0.0 (1),0.0 (1),
560443,soumyard,94.8 (9),0.0 (1),0.0 (1),
559504,fkerem,94.4 (10),0.0 (1),0.0 (1),
558632,aliosm,92.9 (11),0.0 (1),0.0 (1),
556237,sirwe.saeedi,92.7 (12),0.0 (1),0.0 (1),
555267,panaali,92.5 (13),0.0 (1),0.0 (1),
554304,ZhengxianFan,92.4 (14),0.0 (1),0.0 (1),
558607,S.L.Liu,90.4 (15),0.0 (1),0.0 (1),
556727,Warren,90.4 (15),0.0 (1),0.0 (1),
559136,TMLab,89.2 (16),0.0 (1),0.0 (1),
558906,cipriancus,89.1 (17),0.0 (1),0.0 (1),
555257,Roweida_Mohammed,89.1 (17),0.0 (1),0.0 (1),
551026,eggy,89.0 (18),0.0 (1),0.0 (1),
559064,lll_2020,88.7 (19),0.0 (1),0.0 (1),
558936,ieiu,88.7 (19),0.0 (1),0.0 (1),
558922,guo222,88.3 (20),0.0 (1),0.0 (1),
558920,KerenzaDoxolodeo,88.2 (21),0.0 (1),0.0 (1),
558866,NEUKG,88.1 (22),0.0 (1),0.0 (1),
558952,w-h-m,87.9 (23),0.0 (1),0.0 (1),
558939,Armins,87.1 (24),0.0 (1),0.0 (1),
559163,baiyang2581,85.1 (25),0.0 (1),0.0 (1),
558257,wonderful_tonight,84.2 (26),0.0 (1),0.0 (1),
556717,Serena,83.6 (27),0.0 (1),0.0 (1),
555506,lijunyi,83.0 (28),0.0 (1),0.0 (1),
550791,ehsantaher,82.5 (29),0.0 (1),0.0 (1),
559542,pmatosevic,81.2 (30),0.0 (1),0.0 (1),
557927,Vicki,79.8 (31),0.0 (1),0.0 (1),
556238,neutralino,79.7 (32),0.0 (1),0.0 (1),
557954,m.khanddorj,79.6 (33),0.0 (1),0.0 (1),
559295,HonoMi,78.4 (34),0.0 (1),0.0 (1),
556282,CarreyWong,72.4 (35),0.0 (1),0.0 (1),
554710,paramitamirza,69.2 (36),0.0 (1),0.0 (1),
554289,thanet.mar,67.6 (37),0.0 (1),0.0 (1),
550596,chenggguang,62.3 (38),0.0 (1),0.0 (1),
556698,praveenjoshi007,55.9 (39),0.0 (1),0.0 (1),
555490,dania,21.6 (40),0.0 (1),0.0 (1),
559419,mxgra,0.0 (41),0.0 (1),0.0 (1),
