submission_pk,User,Rank,Rank,Dice,Dice,Dice,Dice,Hausdorff,Hausdorff,Hausdorff,Hausdorff
,<All>,<Eusophagus>,Esophagus,Heart,Trachea,Aorta,Esophagus,Heart,Trachea,Aorta
769658,stray_dove,5.00 (4),0.9517 (1),0.1028 (1),,,,,,,,,,,
523778,FabianIsensee,1.00 (1),0.9510 (4),0.1219 (5),,,,,,,,,,,
1070094,Maksym,6.50 (5),0.9510 (2),0.1114 (2),,,,,,,,,,,
748817,njzwj,2.50 (2),0.9510 (3),0.1199 (4),,,,,,,,,,,
960886,zhanghx,4.00 (3),0.9498 (6),0.1326 (8),,,,,,,,,,,
1076280,ulrich,2.50 (2),0.9467 (7),0.1223 (6),,,,,,,,,,,
565111,PX_Yu,11.50 (9),0.9443 (8),0.1290 (7),,,,,,,,,,,
728926,psegmentacnn,14.50 (11),0.9380 (11),0.1579 (10),,,,,,,,,,,
1140118,thaler,10.50 (8),0.9418 (9),0.1440 (9),,,,,,,,,,,
1137860,valentin.ogrean,8.00 (6),0.9346 (12),0.1891 (11),,,,,,,,,,,
731105,q1551534891,9.00 (7),0.9314 (14),0.2729 (16),,,,,,,,,,,
898332,mttgsl,6.50 (5),0.9398 (10),0.2260 (13),,,,,,,,,,,
1136870,gttftg,13.00 (10),0.9299 (15),0.2716 (15),,,,,,,,,,,
766100,Julia,18.50 (16),0.9335 (13),0.2417 (14),,,,,,,,,,,
1067806,JSY2020,16.50 (13),0.9263 (18),0.2773 (17),,,,,,,,,,,
530357,Jennsoo,17.50 (15),0.9261 (19),0.2808 (19),,,,,,,,,,,
499711,mohitasudani,17.00 (14),0.9257 (20),0.3110 (22),,,,,,,,,,,
623131,jinxianglai,19.00 (17),0.9280 (16),0.2016 (12),,,,,,,,,,,
620922,chaibin,16.00 (12),0.9198 (22),0.6657 (28),,,,,,,,,,,
1113265,zz10001,16.00 (12),0.9272 (17),0.3593 (24),,,,,,,,,,,
1111266,puhzfeix591,16.00 (12),0.9272 (17),0.3593 (24),,,,,,,,,,,
637313,tdargent,24.00 (21),0.9116 (24),0.2775 (18),,,,,,,,,,,
839992,tmtvaa,37.50 (32),0.9219 (21),0.3008 (21),,,,,,,,,,,
598880,hkervadec,25.00 (22),0.8968 (26),0.3919 (25),,,,,,,,,,,
531057,Slark,20.00 (18),0.9122 (23),0.2928 (20),,,,,,,,,,,
898726,mhabijan,27.50 (24),0.8783 (28),0.7022 (29),,,,,,,,,,,
522543,SSurprising,23.00 (20),0.9103 (25),0.3439 (23),,,,,,,,,,,
1147380,hagaki,29.50 (26),0.8767 (30),0.5867 (27),,,,,,,,,,,
534995,NeeluMadan,22.00 (19),0.7988 (37),1.1761 (33),,,,,,,,,,,
525615,aggarwalpiush,32.00 (29),0.8153 (33),0.8062 (31),,,,,,,,,,,
1145978,CocoGue,40.00 (35),0.9501 (5),0.1185 (3),,,,,,,,,,,
533653,xuezhongliang,31.50 (28),0.8774 (29),0.4324 (26),,,,,,,,,,,
615376,lqdev,27.00 (23),0.8955 (27),2.4224 (36),,,,,,,,,,,
998510,Likai,28.00 (25),0.8763 (31),1.5512 (34),,,,,,,,,,,
1024160,hosseinhkh,37.50 (32),0.7954 (38),0.9057 (32),,,,,,,,,,,
546166,ilko,36.00 (31),0.8101 (35),2.0504 (35),,,,,,,,,,,
1142272,jichifabian,33.50 (30),0.8140 (34),0.8038 (30),,,,,,,,,,,
647906,omentum,31.50 (28),0.8181 (32),3.4558 (38),,,,,,,,,,,
650108,twen,31.00 (27),0.8043 (36),2.7443 (37),,,,,,,,,,,
741370,surajpaib,29.50 (26),0.0000 (39),413.6412 (41),,,,,,,,,,,
803948,shuailin,39.50 (34),0.0000 (39),411.6433 (40),,,,,,,,,,,
949778,infmcel,39.00 (33),0.0000 (39),410.6411 (39),,,,,,,,,,,
833868,Hailie,39.50 (34),0.0000 (39),411.6433 (40),,,,,,,,,,,
