submission_pk,User,KP mean error (aligned),KP AUC (aligned),Mesh error (aligned),Mesh AUC (aligned),F-score@5mm (aligned),F-score@15mm (aligned)
1145710,SSI_S.LSI_RD_CV,0.38 (1),0.924 (1),0.39 (1),0.921 (1),0.900 (1),0.999 (1),
1145465,vector,0.40 (2),0.920 (2),0.42 (2),0.917 (2),0.881 (2),0.998 (2),
1142302,SSI_S.LSI_RD_CV_mobile,0.46 (3),0.907 (3),0.48 (3),0.905 (3),0.841 (3),0.996 (3),
1122652,adwardlee,0.57 (4),0.887 (4),0.58 (6),0.884 (7),0.778 (7),0.987 (6),
1117589,GR,0.57 (5),0.887 (6),0.57 (5),0.886 (5),0.782 (6),0.988 (5),
968407,chenxingyu,0.57 (6),0.887 (5),0.58 (7),0.884 (6),0.784 (5),0.986 (11),
933490,aspurr,0.58 (7),0.884 (7),5.07 (80),0.162 (80),0.001 (80),0.031 (79),
801755,MSCogSvcs-METRO,0.58 (8),0.884 (8),0.60 (8),0.881 (8),0.765 (10),0.987 (7),
1096179,xueyouze,0.59 (9),0.883 (9),0.60 (10),0.880 (10),0.764 (11),0.987 (8),
962128,UCAS_CSY,0.59 (10),0.883 (10),0.60 (9),0.880 (9),0.767 (9),0.986 (9),
1095120,swanilee,0.59 (11),0.883 (11),0.60 (11),0.880 (11),0.764 (12),0.986 (10),
965140,sean_9,0.59 (12),0.882 (12),0.61 (12),0.879 (12),0.769 (8),0.985 (13),
1074188,HybrIK,0.60 (13),0.881 (13),0.62 (13),0.877 (13),0.761 (13),0.986 (12),
927656,HW-ICS,0.61 (14),0.879 (14),0.62 (14),0.876 (14),0.754 (14),0.984 (14),
1146311,liushiyong,0.63 (15),0.875 (15),0.56 (4),0.888 (4),0.788 (4),0.990 (4),
1111128,lin.honghui,0.63 (16),0.874 (16),0.64 (15),0.872 (15),0.747 (15),0.981 (18),
828025,uriwolln,0.66 (17),0.868 (18),0.67 (19),0.865 (19),0.719 (19),0.981 (17),
1136617,zhanghaozfh,0.66 (18),0.868 (17),0.67 (17),0.866 (17),0.732 (16),0.979 (20),
1122180,shaoguowen,0.66 (19),0.868 (19),0.66 (16),0.868 (16),0.725 (17),0.982 (15),
841441,Stevewong,0.67 (20),0.868 (20),0.67 (18),0.866 (18),0.724 (18),0.981 (16),
737297,algcd,0.68 (21),0.865 (21),0.69 (21),0.862 (21),0.707 (23),0.977 (23),
1025764,gaozhongpai,0.68 (22),0.865 (22),0.69 (20),0.862 (20),0.708 (21),0.980 (19),
1125664,daiheng,0.71 (23),0.860 (24),0.72 (22),0.858 (22),0.708 (22),0.976 (24),
898590,yingqitong,0.71 (24),0.860 (23),0.72 (25),0.857 (25),0.692 (27),0.978 (21),
723700,Mo_1,0.71 (25),0.860 (25),0.73 (27),0.856 (27),0.699 (25),0.974 (29),
1077179,hogrp,0.71 (26),0.859 (26),0.73 (28),0.855 (28),0.691 (29),0.976 (25),
855772,foamliu,0.71 (27),0.859 (27),0.72 (23),0.858 (23),0.698 (26),0.978 (22),
1005350,wenkailiu,0.72 (28),0.858 (28),0.72 (26),0.857 (26),0.709 (20),0.974 (31),
975175,lmc20,0.73 (29),0.854 (29),0.74 (29),0.853 (29),0.687 (30),0.975 (28),
859535,booker-max,0.74 (30),0.854 (30),0.76 (35),0.850 (34),0.681 (35),0.973 (33),
730467,Akila,0.74 (31),0.854 (31),0.76 (36),0.850 (35),0.681 (34),0.973 (33),
759207,sevevnss,0.74 (32),0.854 (32),0.75 (30),0.852 (30),0.691 (28),0.972 (37),
