submission_pk,User,F1,Recall,Precision,Exact_match(only for subtask2)
605369,haodingkui,0.9090 (1),0.9150 (1),0.9040 (1),-1.0000 (1),
744489,stanlai,0.8930 (2),0.8820 (3),0.9040 (1),-1.0000 (1),
614991,lenyabloko,0.8780 (3),0.8900 (2),0.8660 (4),-1.0000 (1),
607909,lenyabloko,0.8740 (4),0.8790 (4),0.8690 (3),-1.0000 (1),
621521,alyonkim,0.8640 (5),0.8770 (5),0.8510 (6),-1.0000 (1),
608894,emilesande,0.8600 (6),0.8460 (6),0.8740 (2),-1.0000 (1),
606779,Xlxw.xu,0.8450 (7),0.8410 (7),0.8500 (7),-1.0000 (1),
595240,lijunyi,0.8290 (8),0.8210 (9),0.8370 (8),-1.0000 (1),
621960,baiyang2581,0.8260 (9),0.7970 (11),0.8570 (5),-1.0000 (1),
595372,rajaswa_patil,0.7880 (10),0.8250 (8),0.7540 (9),-1.0000 (1),
599914,LucasHub,0.6680 (11),0.6690 (13),0.6670 (11),-1.0000 (1),
605476,jacqle,0.6500 (12),0.8180 (10),0.5390 (13),-1.0000 (1),
656481,ElvisInalco,0.6460 (13),0.7260 (12),0.5820 (12),-1.0000 (1),
600267,changshivek,0.2170 (14),0.1290 (15),0.6990 (10),-1.0000 (1),
594189,Jamrainbow,0.1630 (15),0.2910 (14),0.1130 (14),-1.0000 (1),
