submission_pk,User,Average,BB,SIBS,SS,FD,FS,MD,MS,GFGD,GFGS,GMGD,GMGS
963771,MAILW,1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),
940660,vaibhavbagri07,1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),1.00 (1),
962167,neptuneai,0.99 (2),0.99 (2),0.99 (2),0.99 (2),0.99 (2),0.99 (2),0.99 (2),0.99 (2),0.98 (2),0.98 (2),0.99 (2),0.98 (2),
961816,fuad,0.95 (3),0.97 (3),0.96 (3),0.97 (3),0.90 (3),0.93 (3),0.95 (3),0.95 (3),0.88 (3),0.92 (3),0.85 (3),0.87 (3),
535079,DeepBlueAI,0.70 (4),0.72 (4),0.73 (4),0.72 (4),0.73 (4),0.68 (4),0.75 (4),0.67 (4),0.47 (7),0.49 (9),0.56 (4),0.49 (8),
940605,nc2893,0.57 (5),0.61 (5),0.54 (6),0.61 (5),0.47 (9),0.57 (5),0.59 (5),0.56 (6),0.69 (4),0.52 (5),0.49 (9),0.45 (9),
963147,jh3450,0.57 (6),0.57 (6),0.59 (5),0.58 (6),0.57 (5),0.53 (6),0.56 (6),0.58 (5),0.62 (5),0.57 (4),0.54 (6),0.61 (4),
958818,xiaozhazha,0.50 (7),0.50 (8),0.50 (8),0.50 (9),0.51 (6),0.50 (9),0.51 (7),0.50 (8),0.52 (6),0.50 (7),0.50 (7),0.51 (6),
536747,Ferryman,0.50 (7),0.50 (8),0.50 (8),0.50 (9),0.51 (6),0.50 (9),0.51 (7),0.50 (8),0.52 (6),0.50 (7),0.50 (7),0.51 (6),
968222,dingwencolumbia,0.50 (8),0.51 (7),0.47 (9),0.50 (7),0.50 (8),0.50 (7),0.49 (9),0.50 (7),0.46 (8),0.49 (8),0.54 (5),0.50 (7),
534863,codezakh,0.50 (9),0.49 (9),0.51 (7),0.50 (8),0.51 (7),0.50 (8),0.50 (8),0.50 (9),0.52 (6),0.50 (6),0.50 (8),0.52 (5),
536745,yuhang,0.00 (10),0.00 (10),0.00 (10),0.00 (10),0.00 (10),0.00 (10),0.00 (10),0.00 (10),0.00 (9),0.00 (10),0.00 (10),0.00 (10),
535002,danbo3004,NaN (10),NaN (10),NaN (10),NaN (10),NaN (10),NaN (10),NaN (10),NaN (10),NaN (9),NaN (10),NaN (10),NaN (10),
