submission_pk,User,CIDEr
524815,zjdx1998,0.20298 (1),
527133,seu_deepLearning_group3_2019,0.19771 (2),
522687,COSE-SEU-Team13,0.17234 (3),
526488,SEU_DL_group5,0.14197 (4),
528612,Group9-XJF,0.10245 (5),
524067,Group-14,0.08792 (6),
525566,Team_8,0.08552 (7),
524924,Group1_LYH,0.08113 (8),
524420,group11,0.06168 (9),
523652,seu-group-7,0.06087 (10),
524438,the_second,0.05977 (11),
527254,tenthgroup,0.05749 (12),
524910,group15_jyq,0.05749 (12),
524442,group17,0.05749 (12),
524014,SEU-Team12,0.05749 (12),
524847,seugroup16,0.02824 (13),
524253,DeepLearningGroup6,0.02490 (14),
