submission_pk,User,APCER,BPCER,RANK<ACER>
548670,leo_hou,0.0000 (1),0.0000 (1),0.0000 (1),
547267,ZhangTT,0.0000 (1),0.0000 (1),0.0000 (1),
545081,hulking,0.0000 (1),0.0000 (1),0.0000 (1),
544858,powermano,0.0000 (1),0.0000 (1),0.0000 (1),
544095,burning,0.0000 (1),0.0000 (1),0.0000 (1),
544006,ChuChunChuang,0.0000 (1),0.0000 (1),0.0000 (1),
542906,lifeplayer,0.0000 (1),0.0000 (1),0.0000 (1),
541258,matchaisyums,0.0000 (1),0.0000 (1),0.0000 (1),
538483,hirotong,0.0000 (1),0.0000 (1),0.0000 (1),
537020,newland_tianyan,0.0000 (1),0.0000 (1),0.0000 (1),
536199,Hisign,0.0000 (1),0.0000 (1),0.0000 (1),
535671,zhangxin,0.0000 (1),0.0000 (1),0.0000 (1),
534644,wugang,0.0000 (1),0.0000 (1),0.0000 (1),
531617,wgqtmac,0.0000 (1),0.0000 (1),0.0000 (1),
531603,stone,0.0000 (1),0.0000 (1),0.0000 (1),
530221,Bobo,0.0000 (1),0.0000 (1),0.0000 (1),
529665,z_peng,0.0000 (1),0.0000 (1),0.0000 (1),
548623,harvest,0.3333 (2),0.0000 (1),0.1667 (2),
548097,ccq195ccq195,0.3333 (2),0.6667 (2),0.5000 (4),
546160,mmgra,0.3333 (2),0.6667 (2),0.5000 (4),
544840,forzamilan,0.3333 (2),0.6667 (2),0.5000 (4),
544486,theone,0.3333 (2),0.0000 (1),0.1667 (2),
548345,itrushkin,0.6667 (3),1.0000 (3),0.8333 (5),
539130,sabarinathan,0.6667 (3),0.0000 (1),0.3333 (3),
546647,ccq195,1.3333 (4),1.6667 (4),1.5000 (6),
548103,changkun123,6.6667 (5),8.0000 (6),7.3333 (8),
536534,xinying55,7.0000 (6),7.3333 (5),7.1667 (7),
530579,gesture_challenge,14.6667 (7),14.0000 (7),14.3333 (9),
