submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
592020,RaffaeleManna,0.844 (1),0.611 (2),0.642 (2),0.594 (1),
591459,pvf,0.822 (2),0.755 (1),0.383 (3),0.478 (3),
580529,jmccrae,0.769 (3),0.194 (5),0.048 (5),0.073 (5),
591451,dstrohmaier,0.761 (4),0.386 (4),0.112 (4),0.130 (4),
592398,acdh,0.615 (5),0.431 (3),0.694 (1),0.494 (2),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
591459,pvf,0.798 (1),0.746 (1),0.353 (3),0.480 (3),
592398,acdh,0.763 (2),0.619 (2),0.782 (1),0.691 (1),
592020,RaffaeleManna,0.759 (3),0.586 (3),0.692 (2),0.634 (2),
591451,dstrohmaier,0.752 (4),0.250 (4),0.008 (4),0.015 (4),
580529,jmccrae,0.752 (4),0.000 (5),0.000 (5),0.000 (5),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
592020,RaffaeleManna,0.000 (1),0.000 (1),0.000 (1),0.000 (1),
592398,acdh,0.000 (1),0.000 (1),0.000 (1),0.000 (1),
591451,dstrohmaier,0.000 (1),0.000 (1),0.000 (1),0.000 (1),
591459,pvf,0.000 (1),0.000 (1),0.000 (1),0.000 (1),
580529,jmccrae,0.000 (1),0.000 (1),0.000 (1),0.000 (1),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
591451,dstrohmaier,0.817 (1),1.000 (1),0.012 (3),0.025 (3),
580529,jmccrae,0.789 (2),0.211 (3),0.050 (2),0.081 (2),
592398,acdh,0.407 (3),0.223 (2),0.738 (1),0.342 (1),
592020,RaffaeleManna,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
591459,pvf,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
580529,jmccrae,0.728 (1),0.250 (3),0.011 (3),0.020 (3),
591451,dstrohmaier,0.650 (2),0.354 (1),0.242 (2),0.288 (2),
592398,acdh,0.395 (3),0.331 (2),0.842 (1),0.475 (1),
592020,RaffaeleManna,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
591459,pvf,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
580529,jmccrae,0.817 (1),0.300 (2),0.023 (3),0.043 (3),
591451,dstrohmaier,0.810 (2),0.438 (1),0.107 (2),0.172 (2),
592398,acdh,0.522 (3),0.253 (3),0.756 (1),0.379 (1),
592020,RaffaeleManna,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
591459,pvf,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
591459,pvf,0.944 (1),0.846 (1),0.190 (2),0.310 (2),
592398,acdh,0.940 (2),0.636 (2),0.241 (1),0.350 (1),
580529,jmccrae,0.936 (3),0.000 (4),0.000 (4),0.000 (4),
591451,dstrohmaier,0.933 (4),0.000 (4),0.000 (4),0.000 (4),
592020,RaffaeleManna,0.931 (5),0.455 (3),0.086 (3),0.145 (3),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
592398,acdh,0.565 (1),0.707 (2),0.806 (1),0.754 (1),
591451,dstrohmaier,0.510 (2),0.857 (1),0.047 (3),0.088 (3),
580529,jmccrae,0.482 (3),0.545 (3),0.093 (2),0.159 (2),
592020,RaffaeleManna,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
591459,pvf,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
592398,acdh,0.798 (1),0.738 (1),0.608 (1),0.667 (1),
580529,jmccrae,0.777 (2),0.000 (2),0.000 (2),0.000 (2),
592020,RaffaeleManna,0.000 (3),0.000 (2),0.000 (2),0.000 (2),
591451,dstrohmaier,0.000 (3),0.000 (2),0.000 (2),0.000 (2),
591459,pvf,0.000 (3),0.000 (2),0.000 (2),0.000 (2),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
580529,jmccrae,0.940 (1),0.053 (1),0.012 (1),0.020 (1),
592020,RaffaeleManna,0.000 (2),0.000 (2),0.000 (2),0.000 (2),
592398,acdh,0.000 (2),0.000 (2),0.000 (2),0.000 (2),
591451,dstrohmaier,0.000 (2),0.000 (2),0.000 (2),0.000 (2),
591459,pvf,0.000 (2),0.000 (2),0.000 (2),0.000 (2),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
591451,dstrohmaier,0.637 (1),0.683 (1),0.750 (2),0.715 (2),
580529,jmccrae,0.583 (2),0.680 (2),0.185 (3),0.291 (3),
592398,acdh,0.549 (3),0.631 (3),0.891 (1),0.739 (1),
592020,RaffaeleManna,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
591459,pvf,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
580529,jmccrae,0.754 (1),0.438 (1),0.179 (2),0.255 (2),
591451,dstrohmaier,0.749 (2),0.143 (3),0.026 (3),0.043 (3),
592398,acdh,0.606 (3),0.372 (2),0.821 (1),0.512 (1),
592020,RaffaeleManna,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
591459,pvf,0.000 (4),0.000 (4),0.000 (4),0.000 (4),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
592020,RaffaeleManna,0.766 (1),0.729 (2),0.754 (1),0.741 (1),
591459,pvf,0.761 (2),0.760 (1),0.333 (3),0.463 (3),
580529,jmccrae,0.693 (3),0.000 (4),0.000 (4),0.000 (4),
592398,acdh,0.537 (4),0.418 (3),0.719 (2),0.529 (2),
591451,dstrohmaier,0.000 (5),0.000 (4),0.000 (4),0.000 (4),
submission_pk,User,5-Class Accuracy,2-Class Precision,2-Class Recall,2-Class F-Measure
591451,dstrohmaier,0.935 (1),0.000 (4),0.000 (4),0.000 (4),
