submission_pk,User,MAP,MRR
677181,RefalMachine2,0.5810 (1),0.6256 (1),
561728,Yuriy,0.5590 (2),0.6045 (2),
564191,RefalMachine,0.5204 (3),0.5613 (3),
579557,vvyadrincev,0.5115 (4),0.5503 (4),
565089,xeno,0.5014 (5),0.5503 (4),
563643,akutuzov,0.4706 (6),0.5122 (5),
584191,alvadia,0.4486 (7),0.4856 (6),
561112,Parkat13,0.4420 (8),0.4758 (7),
564758,joystick,0.4359 (9),0.4644 (10),
750480,Igor_Karpikov,0.4349 (10),0.4740 (8),
567155,lilaspourpre,0.4348 (11),0.4729 (9),
739326,aleksei_pronkin,0.4275 (12),0.4632 (11),
565224,cointegrated,0.4077 (13),0.4428 (12),
584619,adhaesitadimo,0.3865 (14),0.4261 (13),
637006,logipamar,0.1644 (15),0.1888 (14),
561086,iamdenay,0.1243 (16),0.1386 (15),
565762,tvbat,0.1156 (17),0.1333 (16),
530880,s231644,0.0240 (18),0.0307 (17),
