submission_pk,User,MinDCF,EER
598623,JTBD,0.0654 (1),1.45 (1),
599699,peng.shen,0.0745 (2),1.51 (2),
599424,gbarbadillo,0.0769 (3),1.77 (3),
599157,RibotOT,0.0839 (4),1.84 (4),
619637,dbird,0.0865 (5),1.90 (5),
594435,DeepMiner,0.0957 (6),2.00 (6),
594208,jvillalba,0.1048 (7),2.32 (7),
599908,zhangruiteng,0.1122 (8),2.68 (8),
597846,alumae,0.1171 (9),2.74 (10),
579212,simonchik_k,0.1252 (10),2.85 (11),
598465,chienlinhuang,0.1261 (11),2.95 (13),
592294,chauluu,0.1263 (12),3.07 (15),
599891,mrouvier,0.1264 (13),2.89 (12),
599679,matejkap,0.1317 (14),2.71 (9),
599610,mariganeshkumar,0.1377 (15),3.03 (14),
599561,mryb,0.1576 (16),3.67 (16),
598355,rasim.ulgen,0.1643 (17),3.95 (21),
771834,GREAT,0.1688 (18),3.82 (17),
575634,HS,0.1782 (19),3.92 (19),
574343,meweve1701,0.1800 (20),3.91 (18),
574303,kejom62676,0.1801 (21),3.94 (20),
598169,Pochin,0.1885 (22),4.47 (26),
599280,anotherother,0.1942 (23),4.46 (24),
586816,day9011,0.1993 (24),5.17 (28),
547649,dintas,0.2020 (25),4.46 (25),
620771,FiberHome_AI_Lab_NanJing,0.2076 (26),4.30 (23),
593836,SunghwanMun,0.2078 (27),3.96 (22),
579354,ustc,0.2145 (28),6.07 (36),
574270,saxaha4776,0.2241 (29),5.01 (27),
619535,slotogram,0.2301 (30),5.47 (29),
594986,dezh,0.2369 (31),5.69 (30),
549988,speechgo,0.2409 (32),5.83 (32),
571089,localhost,0.2444 (33),5.88 (34),
574330,prash29,0.2530 (34),5.72 (31),
548520,xmuspeech506,0.2628 (35),6.19 (37),
557149,hbredin,0.2638 (36),5.98 (35),
571139,linenej115,0.2643 (37),5.85 (33),
565886,meet.soni65,0.2679 (38),6.61 (39),
561744,BritPop,0.2753 (39),6.83 (41),
541775,Coder11,0.2760 (40),6.73 (40),
543913,kwh1990,0.2823 (41),6.38 (38),
571135,ee17resch01003,0.2827 (42),7.05 (42),
571134,Sreekanth,0.2899 (43),7.13 (44),
596578,dyyzhmm,0.2996 (44),7.44 (45),
542431,ayushayt,0.3025 (45),8.44 (49),
590311,takoyaki,0.3074 (46),7.13 (43),
546125,zxchen123,0.3378 (47),9.04 (51),
597812,david02,0.3398 (48),8.48 (50),
599614,mohsen,0.3548 (49),8.20 (47),
628224,divyeshrajpura,0.3660 (50),9.41 (52),
564255,fetexe4161,0.3761 (51),8.26 (48),
565069,fta,0.3772 (52),9.58 (53),
551000,juanmc2005,0.3891 (53),8.15 (46),
580204,leizhenchun,0.4194 (54),10.04 (55),
569329,abb.bas,0.4205 (55),9.91 (54),
598273,NGteam,0.4287 (56),10.60 (56),
602455,sdsvc,0.4319 (57),10.67 (57),
643374,khoa_audio1,0.4630 (58),17.80 (62),
550679,NickZhang,0.4634 (59),11.12 (58),
577022,rpawar7,0.5307 (60),12.60 (59),
571348,joanna,0.5325 (61),13.55 (60),
547816,huanhua,0.5348 (62),16.32 (61),
