submission_pk,User,< Rank >,Classification (AUC ROC),Feature Selection (AUC ROC)
612053,chenj43,1.00 (1),0.92 (1),0.96 (1),
611920,pant2,4.50 (3),0.92 (2),0.91 (7),
876930,qiud,3.00 (2),0.92 (3),0.95 (3),
612605,lamc3,5.00 (4),0.91 (4),0.91 (6),
609207,smitha21,7.00 (6),0.91 (5),0.85 (9),
612503,LyndonLynn,8.00 (7),0.91 (6),0.83 (10),
613430,yuw7,6.00 (5),0.91 (7),0.92 (5),
613151,patelr7,12.50 (10),0.91 (8),0.66 (17),
612649,littlj4,11.50 (8),0.91 (9),0.70 (14),
613876,zhuq2,13.00 (11),0.90 (10),0.68 (16),
613060,hour,12.00 (9),0.90 (11),0.74 (13),
613737,knissk,7.00 (6),0.89 (12),0.96 (2),
613421,Qianxy23,17.00 (14),0.88 (13),0.60 (21),
611958,miaoy2,18.00 (16),0.87 (14),0.59 (22),
613414,lix37,21.00 (19),0.87 (15),0.56 (27),
612389,tannej2,17.50 (15),0.87 (16),0.62 (19),
612673,panozm,12.50 (10),0.86 (17),0.90 (8),
612516,wuh7,12.50 (10),0.86 (17),0.90 (8),
612607,lyux2,21.00 (19),0.85 (18),0.58 (24),
612596,tanj9,23.50 (22),0.85 (19),0.55 (28),
612491,xingj,24.00 (23),0.85 (20),0.55 (28),
613364,Xinshi,25.50 (25),0.85 (21),0.52 (30),
613319,kambar,23.50 (22),0.85 (21),0.57 (26),
606181,owensj4,23.50 (22),0.85 (21),0.57 (26),
670558,klemer,27.00 (27),0.84 (22),0.45 (32),
876942,chaij,28.00 (28),0.84 (23),-1.00 (33),
613701,mariac,14.50 (12),0.83 (24),0.92 (5),
613708,liy62,24.00 (23),0.83 (25),0.58 (23),
609138,neusck,23.00 (21),0.83 (26),0.61 (20),
613526,littlj5,19.00 (17),0.81 (27),0.80 (11),
612850,boskaw,16.00 (13),0.81 (28),0.93 (4),
612774,huh6,29.50 (29),0.81 (28),0.50 (31),
611922,awal27,29.50 (29),0.81 (28),0.50 (31),
605358,ngwetl,29.50 (29),0.81 (28),0.50 (31),
613192,podgoj,22.00 (20),0.80 (29),0.69 (15),
612761,IDM_Dmay,30.50 (31),0.80 (30),0.50 (31),
611921,essump,30.00 (30),0.73 (31),0.53 (29),
612719,davida4,22.00 (20),0.72 (32),0.77 (12),
603552,figuej3,20.50 (18),0.72 (33),0.90 (8),
613253,mayerm2,30.00 (30),0.66 (34),0.57 (26),
613755,schopa,25.00 (24),0.50 (35),0.69 (15),
613382,decels,31.00 (32),0.50 (35),0.56 (27),
612455,bennek,26.50 (26),0.50 (35),0.62 (18),
608606,matkij,26.50 (26),0.50 (35),0.62 (18),
613219,sigoub,33.50 (35),0.42 (36),0.50 (31),
612547,pauldn,28.00 (28),0.34 (37),0.62 (19),
613305,mhajjam,32.00 (34),-1.00 (38),0.57 (26),
605712,chenw14,31.50 (33),-1.00 (38),0.57 (25),
