submission_pk,User,Dose score,DVH score
639371,Hussain,2.2957 (1),1.8780 (18),
623953,LSL000UD,2.3090 (2),1.5522 (2),
915455,yangsen,2.4171 (3),1.5720 (4),
625440,SGay1,2.4996 (4),1.8631 (16),
749704,JulesD,2.5009 (5),1.5568 (3),
626535,calvin89029,2.5909 (6),1.6660 (8),
626519,DanNguyen,2.6064 (7),1.7489 (13),
600622,czjsai,2.6269 (8),1.7682 (14),
624893,xuang,2.6673 (9),1.6599 (7),
620175,siriwillems,2.7136 (10),1.6030 (5),
625504,jbb,2.7477 (11),1.7442 (12),
640152,Ramsy,2.7896 (12),1.5182 (1),
603964,ddicostanzo,2.8169 (13),1.6808 (9),
624682,ElenaC,2.8225 (14),2.0152 (23),
624626,Pengzhao,2.8599 (15),1.7095 (10),
602719,argman,2.9222 (16),2.1074 (25),
599747,prolificforward,2.9673 (17),2.1499 (26),
617217,ana_barragan,2.9861 (18),1.9913 (22),
625916,Luliny,3.0032 (19),1.9676 (20),
597688,nuotong,3.0093 (20),1.6105 (6),
596837,hoyeon.lee,3.0129 (21),1.8520 (15),
630651,RobZelluf,3.0266 (22),2.1757 (28),
593796,nysuka,3.0651 (23),1.9095 (19),
619776,deepX,3.1519 (24),2.1753 (27),
625269,Sibaji,3.3963 (25),1.9783 (21),
606802,jecjimenezgi,3.4322 (26),1.8746 (17),
605816,Ramsy,3.4907 (27),1.7253 (11),
590448,collery,3.6218 (28),2.7015 (32),
601095,Pengzhao,3.7893 (29),2.3576 (30),
589637,nysuka,3.7969 (30),2.0814 (24),
607103,gechen,3.8833 (31),2.9527 (34),
621155,anilrai,3.9038 (32),2.4232 (31),
606317,jave80kw,3.9089 (33),3.3508 (37),
626520,YuliangHuang,4.0860 (34),3.2466 (35),
586757,nattochaduke,4.1851 (35),2.3109 (29),
632816,simengzhu,4.5991 (36),3.5617 (39),
621853,liujg,4.6452 (37),3.2708 (36),
620536,kuzmin,5.1302 (38),2.7601 (33),
623282,Jeevanshu,5.2147 (39),3.4307 (38),
597657,kuzmin,6.1190 (40),6.1435 (41),
593421,thegame76,6.1761 (41),9.4504 (42),
603364,Hui_Sun,6.9105 (42),3.8319 (40),
565587,congshengli,7.4118 (43),11.2182 (44),
594648,han_gatech,7.9036 (44),11.7833 (45),
599272,rohit.chauhan0011,8.0116 (45),12.0382 (46),
688378,zhuc,8.5577 (46),10.3967 (43),
618728,tangyt,11.4277 (47),19.3492 (48),
573951,collery,14.9475 (48),26.9897 (49),
596654,AlexanderOsman,16.0055 (49),19.0550 (47),
620253,AndrewTal,16.9792 (50),32.0469 (50),
619815,navchetan_awasthi,24.9097 (51),49.7081 (51),
585549,Zavier,25.5206 (52),50.3907 (52),
