submission_pk,User,Ranking,Bias (positive pairs),Bias (negative pairs),Accuracy
636877,ustc-nelslip,2.333333 (1),0.000142 (1),0.002956 (3),0.999287 (3),
638213,zheng.zhu,3.666667 (2),0.000344 (3),0.003781 (7),0.999442 (1),
637139,CdtQin,3.666667 (2),0.000472 (5),0.002334 (1),0.998477 (5),
637175,crisp,4.666667 (3),0.000935 (8),0.003193 (4),0.999394 (2),
636662,haoxl,4.666667 (3),0.000348 (4),0.003678 (6),0.998699 (4),
636630,cam_vision,5.000000 (4),0.000731 (6),0.002488 (2),0.995621 (7),
606442,Hyg,6.000000 (5),0.000814 (7),0.003305 (5),0.998402 (6),
635702,senlin11,9.333333 (6),0.000165 (2),0.010091 (16),0.992093 (10),
637702,hanamichi,10.666667 (7),0.001631 (9),0.006760 (10),0.987382 (13),
638212,paranoidai,12.000000 (8),0.003779 (12),0.007745 (13),0.988359 (11),
628862,six_god,13.000000 (9),0.006400 (23),0.004670 (8),0.993343 (8),
638248,vuvko,13.333333 (10),0.005018 (17),0.006880 (11),0.988125 (12),
631674,camel,14.333333 (11),0.007078 (25),0.005986 (9),0.993202 (9),
632479,debias,15.333333 (12),0.002808 (11),0.010383 (17),0.977708 (18),
638302,UAM_Ignacio,15.666667 (13),0.005009 (16),0.010054 (15),0.981019 (16),
635415,zhaixingzi,15.666667 (13),0.005322 (19),0.010022 (14),0.984689 (14),
630699,clessvna,17.000000 (14),0.006617 (24),0.007572 (12),0.981362 (15),
629626,ddddddqiu,18.666667 (15),0.002675 (10),0.015141 (21),0.967389 (25),
623386,jjjjjjjm,19.000000 (16),0.004937 (15),0.013108 (19),0.972278 (23),
623412,clearlove10,19.333333 (17),0.005039 (18),0.012280 (18),0.972329 (22),
636781,ai,19.666667 (18),0.004123 (13),0.019420 (25),0.974442 (21),
633251,hanhao1415,20.000000 (19),0.005686 (21),0.014742 (20),0.977388 (19),
619754,zhangkun,21.666667 (20),0.004896 (14),0.020322 (27),0.968208 (24),
630078,YSTBER,23.000000 (21),0.008250 (27),0.015763 (22),0.977343 (20),
634632,season,24.000000 (22),0.011135 (31),0.017689 (24),0.978085 (17),
634418,TCxu,25.333333 (23),0.005972 (22),0.021329 (28),0.964486 (26),
635529,Finn_zhang,28.333333 (24),0.005468 (20),0.044931 (36),0.947747 (29),
636632,okpeng,29.000000 (25),0.010581 (30),0.025169 (30),0.949839 (27),
635179,wg1234567p,30.666667 (26),0.007765 (26),0.042682 (35),0.939736 (31),
637833,Serendi,31.000000 (27),0.021709 (34),0.021855 (29),0.946445 (30),
637586,baoqianyue,31.000000 (27),0.009132 (28),0.031606 (32),0.938430 (33),
637868,suhk,31.333333 (28),0.014761 (33),0.016355 (23),0.840568 (38),
636592,burning,32.333333 (29),0.024901 (37),0.020274 (26),0.915005 (34),
621887,quentinyq,32.333333 (29),0.022878 (35),0.037616 (34),0.949130 (28),
635375,jieson_zheng,33.666667 (30),0.014731 (32),0.045830 (37),0.939732 (32),
637081,yuchun_wang,34.666667 (31),0.010568 (29),0.052194 (38),0.868556 (37),
618612,fireant,34.666667 (31),0.023675 (36),0.034809 (33),0.903129 (35),
635439,mengtzu.chiu,36.000000 (32),0.050556 (38),0.025790 (31),0.837854 (39),
593423,juliojj,38.333333 (33),0.057620 (40),0.054311 (39),0.889264 (36),
638299,VisTeam,39.666667 (34),0.054725 (39),0.061032 (40),0.820067 (40),
596903,fuad,41.000000 (35),0.085108 (41),0.097998 (41),0.754241 (41),
