submission_pk,User,Mean IOU
629117,TSSHAI,95.40 (1),
629116,LawrenceK,95.22 (2),
629020,lmquan392,94.87 (3),
628762,nickolay_mykhailych,94.61 (4),
628974,neptuneai,94.33 (5),
626114,pengjiefeng,94.28 (6),
625173,crazySeg,94.24 (7),
624582,limeng,94.20 (8),
626244,ndhp2000,93.61 (9),
629042,WuliLaoWang,93.45 (10),
621237,wangguangrun,92.29 (11),
597045,csmath,90.09 (12),
614232,acdart,88.44 (13),
621062,xiAaonice,87.23 (14),
627914,Wesly,87.01 (15),
602012,sabarinathan,86.40 (16),
612716,RockAnsel,83.47 (17),
598929,sarathknv,82.16 (18),
693190,ktncktnc,79.14 (19),
593925,sohom21d,75.67 (20),
