submission_pk,User,Corpus Bleu-4,Bleu-1,Bleu-2,Bleu-3,Bleu-4
633628,tosho,0.366 (1),0.631 (8),0.419 (2),0.302 (1),0.225 (1),
642450,wzy977,0.365 (2),0.638 (2),0.420 (1),0.299 (2),0.221 (2),
691680,zsyzsx1823,0.363 (3),0.633 (5),0.417 (4),0.297 (3),0.220 (4),
889737,Patrick,0.362 (4),0.631 (7),0.415 (6),0.297 (4),0.220 (3),
997106,xzl,0.361 (5),0.637 (3),0.417 (5),0.296 (5),0.217 (5),
1035032,wasdfasdf,0.360 (6),0.641 (1),0.418 (3),0.294 (6),0.214 (8),
841980,riceee11,0.359 (7),0.635 (4),0.414 (7),0.293 (8),0.215 (7),
1143354,KK__,0.357 (8),0.623 (9),0.411 (8),0.293 (7),0.217 (6),
634044,syuqing,0.353 (9),0.632 (6),0.409 (9),0.287 (9),0.209 (9),
1143351,fringe,0.337 (10),0.613 (10),0.394 (10),0.272 (10),0.195 (10),
763353,a461813062,0.332 (11),0.612 (11),0.387 (11),0.267 (11),0.192 (11),
774482,Yunbin,0.325 (12),0.606 (12),0.381 (12),0.260 (12),0.185 (12),
774283,deeplearner927,0.319 (13),0.601 (14),0.376 (13),0.255 (13),0.181 (13),
1003159,chenchenchen,0.318 (14),0.604 (13),0.375 (14),0.253 (14),0.178 (14),
763908,tiny9207,0.316 (15),0.600 (16),0.372 (15),0.251 (15),0.177 (15),
615765,acdart,0.314 (16),0.598 (18),0.371 (16),0.250 (16),0.175 (16),
597805,zzxslp,0.311 (17),0.599 (17),0.368 (17),0.247 (17),0.172 (18),
685394,tokway,0.310 (18),0.593 (20),0.367 (19),0.247 (18),0.173 (17),
810707,fighting,0.310 (19),0.595 (19),0.367 (18),0.247 (19),0.172 (19),
669534,little_James,0.308 (20),0.600 (15),0.365 (20),0.243 (20),0.169 (20),
694248,mlii0117,0.301 (21),0.586 (21),0.358 (21),0.238 (21),0.165 (21),
614846,Tcat,0.282 (22),0.559 (22),0.337 (22),0.221 (22),0.152 (22),
701885,jgwinnup,0.255 (23),0.555 (23),0.312 (23),0.194 (23),0.126 (23),
646531,uestc_ly,0.250 (24),0.547 (24),0.306 (24),0.189 (24),0.123 (24),
976911,TJ_Paul,0.196 (25),0.482 (25),0.254 (25),0.142 (25),0.085 (25),
