submission_pk,User,mMOTA,mMOTP,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632778,DeepBlueAI,26.89 (1),82.39 (1),52.97 (2),84.78 (1),167148.00 (3),27738.00 (2),13366.00 (2),4950.00 (4),7481.00 (5),5614.00 (5),
632862,dingwoai,23.12 (2),75.96 (5),43.14 (4),79.70 (4),191513.00 (5),23658.00 (1),36633.00 (4),2664.00 (5),6680.00 (4),8701.00 (1),
621727,bdd100k,22.90 (3),79.22 (3),56.90 (1),82.96 (3),128761.00 (2),52919.00 (3),9172.00 (1),8062.00 (2),4048.00 (2),5935.00 (4),
632897,DD_Vision,15.85 (4),78.17 (4),42.13 (5),79.56 (5),169236.00 (4),71760.00 (4),15258.00 (3),5901.00 (3),4532.00 (3),7612.00 (2),
684746,dais_lab,14.03 (5),79.44 (2),44.73 (3),83.18 (2),123766.00 (1),82345.00 (5),38636.00 (5),8339.00 (1),3114.00 (1),6592.00 (3),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
621727,bdd100k,39.68 (1),76.63 (3),24194.00 (2),9270.00 (3),2493.00 (2),1125.00 (2),986.00 (3),1528.00 (4),
632897,DD_Vision,33.64 (2),72.68 (5),26445.00 (3),9580.00 (4),3531.00 (3),978.00 (3),932.00 (2),1729.00 (1),
632778,DeepBlueAI,29.67 (3),78.82 (1),34954.00 (5),4987.00 (2),1985.00 (1),416.00 (4),2143.00 (5),1080.00 (5),
632862,dingwoai,29.09 (4),74.26 (4),33291.00 (4),3969.00 (1),5010.00 (4),340.00 (5),1622.00 (4),1677.00 (2),
684746,dais_lab,17.40 (5),77.41 (2),21589.00 (1),16813.00 (5),10838.00 (5),1317.00 (1),657.00 (1),1665.00 (3),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
621727,bdd100k,63.79 (1),83.70 (3),94185.00 (2),35658.00 (3),7108.00 (1),7068.00 (2),2617.00 (2),4415.00 (5),
632778,DeepBlueAI,59.70 (2),85.35 (1),123356.00 (3),17301.00 (2),11741.00 (2),4565.00 (4),4916.00 (5),4619.00 (4),
684746,dais_lab,54.97 (3),83.86 (2),87148.00 (1),52819.00 (5),30310.00 (4),7339.00 (1),1849.00 (1),4912.00 (3),
632897,DD_Vision,51.15 (4),80.69 (4),125342.00 (4),47076.00 (4),12318.00 (3),5284.00 (3),3062.00 (3),5754.00 (2),
632862,dingwoai,48.50 (5),80.30 (5),148151.00 (5),13485.00 (1),33142.00 (5),2375.00 (5),4592.00 (4),7133.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
