submission_pk,User,P (all),P1 (GIF w/ text),P2 (GIF only)
644801,team.mojitok,0.6174 (1),0.6044 (1),0.6261 (1),
641347,YuHsuan,0.5824 (2),0.5580 (2),0.5986 (2),
642491,Yao,0.5662 (3),0.5282 (4),0.5915 (3),
642603,benson,0.5437 (4),0.5097 (6),0.5663 (4),
641793,soumitra.ghosh,0.5380 (5),0.5006 (7),0.5629 (5),
641840,petertay,0.5373 (6),0.5151 (5),0.5521 (6),
641580,NCTU_Team_Delta,0.5345 (7),0.5314 (3),0.5365 (7),
645921,EricChu,0.5151 (8),0.4978 (8),0.5266 (8),
642693,tsanzxc456,0.4962 (9),0.4542 (10),0.5243 (9),
641436,thlin,0.4939 (10),0.4503 (11),0.5230 (10),
645146,shaoli,0.4919 (11),0.4594 (9),0.5136 (11),
644546,Chilung,0.4495 (12),0.4266 (12),0.4648 (14),
642347,william0228,0.4449 (13),0.4017 (13),0.4737 (12),
642632,wade1357991,0.4297 (14),0.3673 (14),0.4714 (13),
641344,RyanKo,0.4168 (15),0.3568 (15),0.4568 (15),
644256,jessicahuang,0.4065 (16),0.3498 (16),0.4443 (16),
641802,shaoli,0.3598 (17),0.3417 (17),0.3719 (17),
641343,morris11,0.2570 (18),0.2211 (18),0.2809 (18),
