submission_pk,User,
733321,Atrin,0.50 (1),
733054,yingjialin,0.50 (2),
727185,wangz10,0.50 (2),
740749,SatoshiHasegawa,0.50 (3),
733078,ht,0.50 (4),
730530,hns_baseline_add_noise,0.50 (5),
740750,lumip,0.50 (6),
732828,flynngo,0.50 (7),
730372,tuscan-chicken-wrap,0.80 (8),
737599,chaitanyakaul,9.99 (9),
734991,VinithMS,9.99 (9),
734787,hns_baseline_knn,9.99 (9),
718077,hns_baseline_binary_predictor,9.99 (9),
submission_pk,User,
734787,hns_baseline_knn,0.53 (1),
737599,chaitanyakaul,0.53 (2),
734991,VinithMS,0.50 (3),
718077,hns_baseline_binary_predictor,0.50 (4),
740750,lumip,-9.99 (5),
740749,SatoshiHasegawa,-9.99 (5),
733321,Atrin,-9.99 (5),
733078,ht,-9.99 (5),
733054,yingjialin,-9.99 (5),
732828,flynngo,-9.99 (5),
730530,hns_baseline_add_noise,-9.99 (5),
730372,tuscan-chicken-wrap,-9.99 (5),
727185,wangz10,-9.99 (5),
