submission_pk,User,score,Computation time
907374,rl_agnet,61.06 (1),358.82 (19),
1142224,tcs_rni,52.97 (2),416.27 (25),
1049841,fzy111,52.42 (3),397.44 (22),
762868,katiey7,52.42 (3),494.89 (29),
762518,l2rpnComp2020,52.42 (3),429.43 (26),
912469,huajh7,50.25 (4),351.60 (18),
877755,Cromo,50.25 (4),408.74 (24),
731764,binbinchen,50.25 (4),503.88 (30),
915761,xx_yc,49.37 (5),387.58 (21),
913283,jeffw,48.56 (6),407.19 (23),
1042246,tIEEmCES,47.09 (7),432.07 (27),
1043332,mleyliabadi,45.10 (8),305.72 (17),
1004858,zhangliyin,45.00 (9),632.50 (33),
817608,Dukroa,45.00 (9),715.65 (34),
753927,lujixiang,45.00 (9),824.58 (37),
890300,liujianlin,44.29 (10),489.88 (28),
1145898,ap_in,43.69 (11),507.21 (31),
1145913,an39,43.33 (12),607.02 (32),
948773,zhwhu,42.95 (13),978.01 (38),
1147918,ZooRayal,36.84 (14),96.59 (10),
1077984,Anand_Chauhan,35.95 (15),204.65 (14),
760344,djmax008,35.25 (16),752.36 (36),
833871,jianda,32.14 (17),247.86 (15),
842789,xuxuxuxu,30.05 (18),369.24 (20),
731625,UN_aiGridOperator,26.48 (19),262.69 (16),
940806,worldofgoo9,11.58 (20),136.88 (12),
921865,amarot,10.76 (21),1.18 (6),
988766,ansuma_bty,4.08 (22),138.82 (13),
822764,Dokroa,3.42 (23),133.34 (11),
1147757,anmold_07,0.00 (24),0.51 (2),
1054851,BDonnot,0.00 (24),0.51 (3),
912557,halbupt,0.00 (24),0.53 (4),
878563,xqwang93,0.00 (24),0.59 (5),
778718,jinxuan,0.00 (24),15.28 (8),
757318,JT,-0.00 (25),58.23 (9),
773237,lsmll,-3.21 (26),2.38 (7),
767709,DragonGlass,-24.66 (27),740.33 (35),
905146,Yu_Zhao,-100.00 (28),0.00 (1),
