submission_pk,User,score
718972,arighosh,0.7474 (1),
711878,haoyang,0.7396 (2),
712845,TAL_ML_Group,0.7396 (2),
720752,CGYR,0.7353 (3),
720625,tenshow,0.7103 (4),
718506,shshen,0.7032 (5),
692936,zhuangyan,0.7021 (6),
714906,ayistar,0.7017 (7),
720618,jilljenn,0.6846 (8),
652306,anlam,0.6535 (9),
651394,moonlightlane,0.6535 (9),
719239,myaunraitau,0.6473 (10),
717732,JULIA-KGKQ,0.6473 (10),
717722,ZhuoranRen,0.6473 (10),
717673,_Schwarzer_,0.6473 (10),
717655,xiaowangshu,0.6473 (10),
717647,PKUer,0.6473 (10),
717499,PENNYGOFORIT,0.6473 (10),
717468,DaisyLab,0.6473 (10),
717466,junoq0420,0.6473 (10),
717335,st---,0.6473 (10),
718235,patty_0802,0.6437 (11),
711172,candice1996,0.4998 (12),
