submission_pk,User,Accuracy,AUC (TB),Sensitivity,Specificity,Average Precision,Average Recall
1018830,alitariq,98.18 (1),99.08 (2),93.82 (1),99.36 (1),98.07 (1),97.47 (1),
877256,pb_mahe_mit,96.91 (2),99.38 (1),91.81 (2),98.42 (2),96.33 (2),96.10 (2),
1090757,vann,95.70 (3),99.07 (3),87.48 (5),98.00 (3),94.99 (3),94.38 (3),
787196,shiv_sbilab,93.64 (4),97.45 (4),85.01 (8),96.20 (5),92.14 (4),92.34 (4),
784297,ddkhxty,90.79 (5),96.59 (6),73.57 (13),96.84 (4),89.60 (5),88.09 (10),
989549,mfarnas,89.85 (6),97.41 (5),87.94 (4),94.16 (8),88.40 (6),90.04 (6),
664278,Faster_R-CNN-ResNet50,89.73 (7),93.57 (8),91.19 (3),89.91 (10),87.66 (8),90.50 (5),
727573,blackfeather61,89.19 (8),96.32 (7),83.31 (9),95.25 (6),88.04 (7),88.65 (9),
811890,Seoulee,89.10 (9),92.12 (12),86.55 (7),93.26 (9),87.42 (9),89.19 (7),
664277,FCOS-ResNet50,88.92 (10),92.43 (11),87.33 (6),89.91 (10),86.64 (10),89.15 (8),
664275,RetinaNet-ResNet50,87.37 (11),91.80 (13),81.61 (10),89.76 (11),84.83 (11),86.84 (11),
664270,SSD-VGG16,84.68 (12),92.98 (10),78.05 (12),89.42 (12),82.10 (12),83.83 (12),
1117742,jryoungw,75.62 (13),93.01 (9),78.98 (11),94.54 (7),77.23 (13),74.90 (13),
submission_pk,User,Category-agnostic Tuberculosis,Category-agnostic Tuberculosis,Category-agnostic Tuberculosis,Active Tuberculosis,Active Tuberculosis,Active Tuberculosis,Latent Tuberculosis,Latent Tuberculosis,Latent Tuberculosis
,AP50,AP75,AP,AP50,AP75,AP,AP50,AP75,AP
1018830,alitariq,27.32 (1),25.69 (1),3.52 (1),,,,,,,,,,
727573,blackfeather61,24.59 (2),22.11 (3),2.36 (5),,,,,,,,,,
1117742,jryoungw,22.74 (3),21.90 (4),2.90 (3),,,,,,,,,,
664278,Faster_R-CNN-ResNet50,22.74 (3),21.90 (4),2.90 (3),,,,,,,,,,
664270,SSD-VGG16,22.64 (4),22.84 (2),3.18 (2),,,,,,,,,,
664275,RetinaNet-ResNet50,22.18 (5),19.64 (5),2.42 (4),,,,,,,,,,
664277,FCOS-ResNet50,18.86 (6),16.82 (6),2.08 (6),,,,,,,,,,
1090757,vann,- (7),- (7),- (7),,,,,,,,,,
989549,mfarnas,- (7),- (7),- (7),,,,,,,,,,
877256,pb_mahe_mit,- (7),- (7),- (7),,,,,,,,,,
811890,Seoulee,- (7),- (7),- (7),,,,,,,,,,
787196,shiv_sbilab,- (7),- (7),- (7),,,,,,,,,,
784297,ddkhxty,- (7),- (7),- (7),,,,,,,,,,
