submission_pk,User,Subtask A F1 Macro average,Subtask B F1 Macro average
695562,Anonymous,0.0 (1),0.0 (1),
695143,Anonymous,0.0 (1),0.0 (1),
694817,Anonymous,0.0 (1),0.0 (1),
694710,Anonymous,0.0 (1),0.0 (1),
694723,Anonymous,0.0 (1),0.0 (1),
694274,Anonymous,0.0 (1),0.0 (1),
693919,Anonymous,0.0 (1),0.0 (1),
693438,Anonymous,0.0 (1),0.0 (1),
693221,Anonymous,0.0 (1),0.0 (1),
692995,Anonymous,0.0 (1),0.0 (1),
692768,Anonymous,0.0 (1),0.0 (1),
689234,Anonymous,0.0 (1),0.0 (1),
686546,Anonymous,0.0 (1),0.0 (1),
686586,Anonymous,0.0 (1),0.0 (1),
686735,Anonymous,0.0 (1),0.0 (1),
686341,Anonymous,0.0 (1),0.0 (1),
685687,Anonymous,0.0 (1),0.0 (1),
685870,Anonymous,0.0 (1),0.0 (1),
