submission_pk,User,TPR@FPR=5E-3,TPR@FPR=10E-4,TPR@FPR=10E-3
726698,ZOLOZ,1.00000 (1),1.00000 (1),1.00000 (1),
726438,liujeff,1.00000 (1),0.99991 (2),1.00000 (1),
726632,winboyer,1.00000 (1),0.99918 (3),1.00000 (1),
724603,zkyezhang,0.99936 (2),0.92268 (9),0.99991 (2),
726765,k_,0.99927 (3),0.98026 (4),0.99973 (3),
722963,SmartQ,0.99872 (4),0.96938 (5),0.99963 (4),
726506,ACB,0.99662 (5),0.96289 (6),0.99845 (5),
726326,BOGUAN-AI,0.99068 (6),0.61877 (14),0.99324 (10),
722245,SmartSens_Phil,0.98684 (7),0.90933 (10),0.99607 (7),
696317,cyberlabs,0.98684 (7),0.93282 (8),0.99406 (8),
726278,jiaorenzhi,0.98629 (8),0.61877 (14),0.99360 (9),
725544,natsubk95,0.97989 (9),0.88785 (12),0.99644 (6),
683458,ngoanpv69,0.96490 (10),0.90056 (11),0.98483 (12),
718265,SuHuynh,0.96362 (11),0.80294 (13),0.99269 (11),
680641,chauhuynh45,0.93840 (12),0.93840 (7),0.93840 (14),
693898,jason90330,0.93657 (13),0.61877 (14),0.98053 (13),
686884,lifeplayer,0.93657 (13),0.61877 (14),0.98053 (13),
684404,HulkMaker,0.93657 (13),0.61877 (14),0.98053 (13),
717908,LSH,0.70816 (14),0.41212 (15),0.81245 (15),
