submission_pk,User,DCF,EER
821466,t_ema,0.1667 (1),3.1040 (1),
965740,gazizullina2010,0.1847 (2),3.6490 (3),
958952,xx205,0.1942 (3),4.0350 (8),
817004,gmh2020,0.2000 (4),3.2550 (2),
713468,B15,0.2042 (5),3.8820 (4),
712873,DKU-DukeECE,0.2045 (6),4.0310 (6),
716595,JTBD,0.2052 (7),4.2040 (11),
712204,xyz123xyz,0.2077 (8),4.0320 (7),
713419,makarov,0.2091 (9),4.1350 (9),
713399,ntorgashov,0.2098 (10),4.2160 (13),
710953,paranoid_android,0.2135 (11),4.0270 (5),
713390,iyakovlev,0.2194 (12),4.4740 (16),
713886,matejkap,0.2294 (13),4.7000 (17),
712913,gbarbadillo,0.2308 (14),4.4040 (15),
713443,AntonOkhotnikov,0.2495 (15),5.0680 (20),
712769,yong.chun,0.2537 (16),4.2090 (12),
712805,Ares-UIBE,0.2538 (17),4.1910 (10),
712744,navdeep,0.2541 (18),4.7800 (19),
710290,yanli.chen,0.2631 (19),4.3700 (14),
764247,GREAT_SHU,0.2721 (20),5.2960 (22),
754767,Es,0.2879 (21),4.7040 (18),
833308,gintautasd,0.2921 (22),5.7850 (23),
707321,zh794390558,0.3214 (23),5.2520 (21),
681168,ethanzhanghui,0.3217 (24),5.9860 (24),
688510,vggoxford,0.4771 (25),7.6890 (25),
710896,takoyaki,0.6313 (26),11.7500 (26),
681642,ChokJohn,0.9999 (27),17.1840 (27),
