submission_pk,User,DER,JER
713919,mandalorian,6.2308 (1),21.5206 (9),
817690,Rhinos,7.8009 (2),18.6480 (2),
713921,landini,8.1243 (3),18.3487 (1),
842767,njz,8.2374 (4),19.5325 (7),
759205,deg,9.0063 (5),18.7625 (3),
759204,shengyu,9.1360 (6),19.4445 (5),
764596,sgspk,9.2019 (7),19.4912 (6),
758880,fxi,9.4936 (8),19.4328 (4),
718815,DKU-DukeECE,9.7879 (9),20.6747 (8),
719279,TK,10.4590 (10),23.4569 (10),
713418,jsdtwry,10.4590 (10),23.4569 (10),
741206,gmh2020,12.2269 (11),24.6906 (11),
710045,paranoid_android,14.1094 (12),72.0426 (16),
713927,EML,20.7556 (13),43.6009 (14),
963617,Jaesung,21.7465 (14),51.8923 (15),
682067,vggoxford,21.7465 (14),51.8923 (15),
705026,amin.moghaddam,30.7666 (15),31.7874 (12),
717764,shaposhnikov,44.2823 (16),41.3874 (13),
