submission_pk,User,Micro_F1,Micro_Precision,Micro_Recall,Macro_F1,Macro_Precision,Macro_Recall
928902,Lucy_Leo,70.35 (1),70.20 (2),70.50 (33),61.37 (7),65.51 (2),61.33 (27),
1104614,wjdzxh,69.54 (2),66.44 (22),72.94 (7),57.21 (43),57.46 (49),59.95 (34),
1104852,sddl_1,69.54 (3),67.23 (15),72.01 (14),62.77 (1),61.94 (11),65.59 (5),
1104645,Decimal-Point-G2,69.45 (4),68.15 (8),70.80 (29),57.67 (40),60.15 (22),58.52 (48),
1081168,xj169860,69.44 (5),70.26 (1),68.63 (43),61.46 (6),66.68 (1),60.67 (31),
1138277,xiezp,69.39 (6),67.63 (12),71.25 (23),61.73 (4),64.12 (6),62.66 (19),
1059555,SaltyFishhh,69.36 (7),68.69 (7),70.05 (35),61.32 (9),64.16 (5),62.82 (18),
914447,flx18,69.34 (8),67.29 (14),71.52 (21),57.93 (36),60.55 (18),59.09 (42),
914602,data_burying,69.22 (9),67.79 (11),70.72 (30),58.70 (30),61.78 (14),59.42 (39),
914363,LovEver_,69.14 (10),66.90 (16),71.54 (20),60.66 (13),62.66 (8),62.50 (21),
914583,baseline_is_all_you_need,69.12 (11),66.74 (19),71.68 (17),62.36 (2),61.60 (15),65.29 (7),
914524,large_storage,69.09 (12),64.61 (37),74.24 (2),62.17 (3),61.37 (16),66.60 (2),
913953,Sengxian,68.74 (13),64.41 (38),73.70 (3),59.34 (25),58.71 (37),63.35 (16),
1031450,wyweiyangwei,68.61 (14),67.83 (10),69.41 (38),60.70 (12),62.47 (9),61.49 (25),
926802,vcrr,68.57 (15),66.62 (20),70.63 (31),57.15 (44),58.55 (39),58.45 (49),
968992,SijiaWang,68.52 (16),66.58 (21),70.58 (32),60.52 (17),61.89 (13),63.82 (13),
1104792,smalldot,68.48 (17),64.68 (35),72.74 (8),58.73 (29),57.84 (47),62.28 (22),
913771,gaozy18,68.46 (18),64.13 (41),73.43 (4),60.80 (11),59.01 (34),65.51 (6),
936918,zhangruihan,68.45 (19),64.78 (34),72.57 (12),55.56 (51),56.22 (55),57.92 (52),
1123013,HaoPeng,68.41 (20),66.87 (17),70.02 (36),54.65 (54),57.87 (46),55.27 (56),
1079852,marve_allen,68.37 (21),69.42 (6),67.35 (46),60.65 (14),65.12 (3),59.68 (35),
911592,Raincleared_Sunny,68.35 (22),65.36 (29),71.62 (19),56.08 (50),56.44 (54),58.09 (51),
1104769,sddl4,68.33 (23),65.80 (25),71.06 (26),59.73 (22),60.85 (17),62.92 (17),
914300,bluefly,68.32 (24),64.24 (40),72.95 (6),59.35 (24),57.94 (45),63.36 (15),
763632,oudalab,68.31 (25),65.67 (28),71.17 (24),57.62 (41),58.56 (38),59.56 (37),
763751,akeeper,68.31 (26),69.64 (4),67.03 (48),59.88 (20),64.70 (4),58.62 (45),
724166,xujunrt,68.28 (27),69.53 (5),67.08 (47),56.56 (47),60.05 (23),55.98 (54),
913371,GoodLuck123,68.26 (28),64.40 (39),72.61 (9),59.32 (26),58.80 (35),63.40 (14),
911986,random_shuffle,68.19 (29),65.25 (31),71.41 (22),60.61 (16),60.22 (21),64.14 (12),
914529,DataOats,68.11 (30),64.89 (33),71.66 (18),57.95 (35),58.22 (43),60.74 (29),
914282,Test11,68.11 (30),64.89 (33),71.66 (18),57.95 (35),58.22 (43),60.74 (29),
913284,Tz-Chuang,68.10 (31),68.03 (9),68.18 (44),60.40 (18),62.74 (7),61.62 (24),
1104638,ura111,68.06 (32),66.22 (23),70.01 (37),58.81 (27),60.39 (20),61.47 (26),
913000,chenjs82,68.04 (33),64.08 (42),72.53 (13),56.09 (49),54.32 (58),60.27 (32),
1104846,ruyi,68.02 (34),63.99 (43),72.60 (10),61.33 (8),59.08 (32),65.97 (3),
734044,dreamxuy,67.97 (35),65.72 (27),70.39 (34),59.53 (23),62.38 (10),61.05 (28),
913337,tonyfu,67.86 (36),65.02 (32),70.96 (27),61.50 (5),59.86 (25),64.79 (9),
902153,MengLuSister,67.59 (37),63.25 (48),72.57 (11),60.63 (15),59.46 (30),64.61 (10),
916395,christeven,67.36 (38),65.75 (26),69.05 (40),57.68 (39),59.45 (31),59.07 (43),
1027761,AvavaAva,67.29 (39),63.83 (45),71.15 (25),61.19 (10),59.58 (29),64.99 (8),
732993,wangxz098,67.24 (40),62.16 (55),73.22 (5),56.45 (48),55.33 (57),61.66 (23),
914237,thuMszZzhGroup,67.04 (41),62.81 (52),71.88 (15),58.78 (28),58.44 (40),62.56 (20),
903253,DiMiner,67.04 (42),62.82 (51),71.85 (16),59.75 (21),58.40 (42),65.74 (4),
