submission_pk,User,R2,MAE,Error_max
742680,Gabriel_Chamoulaud,0.911 (1),0.044 (5),0.473 (1),
742638,Clovis,0.900 (2),0.039 (1),0.972 (5),
742626,Anaelle_TREBOUTTE,0.893 (3),0.043 (3),0.721 (2),
741940,Teo,0.891 (4),0.042 (2),1.614 (9),
741999,Loane,0.871 (5),0.046 (6),0.967 (4),
741974,Aliette,0.863 (6),0.043 (4),1.626 (10),
745949,starsq,0.802 (7),0.051 (9),2.213 (24),
765172,Zier,0.792 (8),0.052 (12),2.254 (25),
765101,Ubd,0.792 (8),0.052 (12),2.254 (25),
765039,ui3,0.792 (8),0.052 (12),2.254 (25),
765027,huangwei,0.790 (9),0.051 (10),2.303 (28),
765069,makw,0.790 (9),0.051 (10),2.303 (28),
741249,josehernandew,0.790 (10),0.049 (7),0.930 (3),
765034,lohh,0.788 (11),0.052 (11),2.181 (23),
765032,lino,0.787 (12),0.053 (15),2.254 (26),
742519,LilianV,0.779 (13),0.054 (17),1.602 (7),
765113,Iipq,0.761 (14),0.052 (13),1.912 (17),
764851,ttas,0.761 (14),0.052 (13),1.912 (17),
736319,MBSupAero,0.753 (15),0.058 (22),2.016 (20),
765141,Grt,0.733 (16),0.052 (14),2.033 (21),
765127,Burt,0.733 (16),0.052 (14),2.033 (21),
741078,clapeyre,0.724 (17),0.050 (8),1.492 (6),
764833,wewe,0.716 (18),0.054 (19),1.789 (16),
764827,wwwwwe,0.716 (18),0.054 (19),1.789 (16),
765181,Cbne,0.711 (19),0.053 (16),1.631 (11),
765051,ure,0.711 (19),0.053 (16),1.631 (11),
764917,liqop,0.711 (19),0.053 (16),1.631 (11),
765078,hhjjkkk,0.707 (20),0.060 (25),1.963 (19),
765060,CSvzxvbz,0.707 (20),0.060 (25),1.963 (19),
764909,yute,0.707 (20),0.060 (25),1.963 (19),
765164,fIRT,0.703 (21),0.057 (20),1.788 (15),
764901,ytec,0.700 (22),0.054 (18),1.922 (18),
764889,sahdui,0.618 (23),0.058 (21),1.717 (12),
764883,safda,0.618 (23),0.058 (21),1.717 (12),
765129,Myrw,0.598 (24),0.059 (24),2.349 (30),
765154,Cive,0.598 (24),0.059 (24),2.349 (30),
765099,Dive,0.598 (24),0.059 (24),2.349 (30),
743022,sachau7,0.550 (25),0.059 (23),1.720 (13),
765132,Vrte,0.543 (26),0.063 (26),2.134 (22),
764938,rebn,0.543 (26),0.063 (26),2.134 (22),
764894,chebw,0.543 (26),0.063 (26),2.134 (22),
765151,Deii,0.505 (27),0.063 (27),1.745 (14),
765123,Fer,0.505 (27),0.063 (27),1.745 (14),
765159,Vier,0.460 (28),0.075 (30),1.614 (8),
765177,ELIO,0.460 (28),0.075 (30),1.614 (8),
765058,uyt,0.460 (28),0.075 (30),1.614 (8),
764976,lout,0.460 (28),0.075 (30),1.614 (8),
764966,xxxhui,0.460 (28),0.075 (30),1.614 (8),
764962,uyte,0.460 (28),0.075 (30),1.614 (8),
764957,tangfs,0.460 (28),0.075 (30),1.614 (8),
764951,liulu1,0.460 (28),0.075 (30),1.614 (8),
765119,ytr,0.360 (29),0.109 (37),3.188 (36),
764877,giashjd,0.360 (29),0.109 (37),3.188 (36),
764871,tyre,0.360 (29),0.109 (37),3.188 (36),
764817,qewerewr,0.360 (29),0.109 (37),3.188 (36),
765095,ygs,0.188 (30),0.070 (28),2.316 (29),
765046,opu,0.188 (30),0.070 (28),2.316 (29),
765088,Mbw,0.188 (30),0.070 (28),2.316 (29),
765076,Euit,0.188 (30),0.070 (28),2.316 (29),
764946,xianyu,0.188 (30),0.070 (28),2.316 (29),
765116,Nugre,0.187 (31),0.092 (35),2.600 (33),
765006,shichu,0.187 (31),0.092 (35),2.600 (33),
764931,zxtr,0.187 (31),0.092 (35),2.600 (33),
764925,xuil,0.187 (31),0.092 (35),2.600 (33),
764919,wangq,0.187 (31),0.092 (35),2.600 (33),
764863,wwer,0.187 (31),0.092 (35),2.600 (33),
764857,sads,0.187 (31),0.092 (35),2.600 (33),
765014,sauidn,0.177 (32),0.092 (33),2.628 (34),
765084,onm,0.103 (33),0.092 (34),2.400 (31),
765009,los,0.103 (33),0.092 (34),2.400 (31),
764839,uk5265,0.071 (34),0.072 (29),2.453 (32),
732090,Sand,0.000 (35),0.128 (40),3.669 (39),
765081,Obg,-0.086 (36),0.112 (38),3.831 (40),
765000,zhangyu1,-0.086 (36),0.112 (38),3.831 (40),
765041,segtfdhfgk,-0.181 (37),0.125 (39),2.262 (27),
764805,AMBEg,-0.181 (37),0.125 (39),2.262 (27),
765024,sum1,-1.084 (38),0.084 (31),3.581 (37),
764983,Ote,-1.108 (39),0.093 (36),3.586 (38),
764992,kET,-1.794 (40),0.090 (32),3.863 (41),
734711,gianlab,-3.266 (41),0.282 (42),3.032 (35),
765135,Poj,-3.945 (42),0.277 (41),4.053 (42),
765167,iles,-3.945 (42),0.277 (41),4.053 (42),
765104,Que,-3.945 (42),0.277 (41),4.053 (42),
765065,het,-3.945 (42),0.277 (41),4.053 (42),
764989,BBy,-3.945 (42),0.277 (41),4.053 (42),
