submission_pk,User,F_score,Precision,Recall,ATA,MOTA,MOTP
854256,tianqihenhao,0.5308 (1),0.6655 (1),0.4414 (1),0.4549 (1),0.5913 (1),0.8421 (3),
854435,DXM-DI-AI-CV-TEAM,0.4755 (2),0.6435 (2),0.3770 (2),0.4188 (2),0.4960 (3),0.8142 (7),
854072,panda12,0.4183 (3),0.5243 (3),0.3479 (3),0.3579 (3),0.5179 (2),0.8427 (2),
852329,lzneu,0.3007 (4),0.3611 (4),0.2576 (4),0.2737 (4),0.4255 (4),0.8330 (6),
853730,yucheng3,0.2964 (5),0.3506 (5),0.2567 (5),0.2711 (5),0.4246 (5),0.8332 (5),
847006,tangyejun,0.2284 (6),0.2527 (6),0.2084 (6),0.2121 (6),0.3676 (6),0.8337 (4),
854207,tiendv,0.0813 (7),0.1402 (7),0.0572 (8),0.0802 (7),0.0887 (7),0.7976 (8),
854179,enderloong,0.0307 (8),0.0239 (8),0.0429 (10),0.0357 (8),0.0159 (9),0.7813 (9),
831763,colorr,0.0158 (9),0.0085 (9),0.1225 (7),0.0146 (9),0.0765 (8),0.8498 (1),
835780,weijiawu,0.0077 (10),0.0041 (10),0.0550 (9),0.0088 (10),-0.1530 (11),0.7670 (10),
843499,BOE_AIoT_CTO,0.0000 (11),0.0000 (11),0.0000 (11),0.0000 (11),-0.0003 (10),0.0000 (11),
submission_pk,User,ATA,MOTA,MOTP
853730,yucheng3,- (-),,,
854435,DXM-DI-AI-CV-TEAM,- (-),,,
835780,weijiawu,- (-),,,
831763,colorr,- (-),,,
852329,lzneu,- (-),,,
843499,BOE_AIoT_CTO,- (-),,,
854256,tianqihenhao,- (-),,,
854179,enderloong,- (-),,,
854072,panda12,- (-),,,
847006,tangyejun,- (-),,,
854207,tiendv,- (-),,,
submission_pk,User,F_score,Precision,Recall
853730,yucheng3,- (-),,,
854435,DXM-DI-AI-CV-TEAM,- (-),,,
835780,weijiawu,- (-),,,
831763,colorr,- (-),,,
852329,lzneu,- (-),,,
843499,BOE_AIoT_CTO,- (-),,,
854256,tianqihenhao,- (-),,,
854179,enderloong,- (-),,,
854072,panda12,- (-),,,
847006,tangyejun,- (-),,,
854207,tiendv,- (-),,,
