submission_pk,User,CER
774437,litmitc,0.22 (1),
776997,SDSV_AICR,0.23 (2),
777105,ducnt97,0.24 (3),
777012,phamnhattruong.skyo,0.25 (4),
776548,hoainv,0.26 (5),
775224,emcadoicobietcodelagi,0.28 (6),
777144,tiendv,0.30 (7),
776917,warriors,0.31 (8),
774453,Tung-nguyen,0.32 (9),
776263,E10.8,0.33 (10),
775153,BK_OCR,0.39 (11),
774253,Nigma.Miracle,0.90 (12),
submission_pk,User,RMSE
777144,tiendv,0.10 (1),
775153,BK_OCR,0.11 (2),
776997,SDSV_AICR,0.12 (3),
774253,Nigma.Miracle,0.13 (4),
776263,E10.8,0.14 (5),
776548,hoainv,0.15 (6),
774437,litmitc,0.15 (7),
777105,ducnt97,0.16 (8),
774453,Tung-nguyen,0.19 (9),
776917,warriors,0.22 (10),
775224,emcadoicobietcodelagi,0.22 (10),
777012,phamnhattruong.skyo,0.37 (11),
