submission_pk,User,ROC-AUC
839172,DeepBlueAI,0.67 (1),
804608,phanviethoang1512,0.67 (2),
825861,QuangPH3,0.67 (3),
808458,hoangtv,0.65 (4),
810693,NELSLIP,0.64 (5),
813978,minhpru,0.62 (6),
807382,NC717,0.62 (7),
827544,Cheerii,0.60 (8),
839012,XDU_EE,0.59 (9),
808189,HuyQD,0.59 (10),
794065,HU_XIAORAN,0.57 (11),
805643,phamnhattruong.skyo,0.57 (12),
785568,DETA,0.57 (13),
805536,nguyentin227,0.56 (14),
801983,datqngo,0.56 (15),
825790,quangnh009182,0.52 (16),
805930,shardul007,0.51 (17),
776515,icebear,0.50 (18),
775725,quangnguyen009182,0.50 (18),
768611,maodou,0.50 (18),
767220,emoregcom-organizers,0.50 (18),
806831,TheCookOfTheKing,0.50 (19),
