submission_pk,User,Rec. Rate
818701,smilelab2021,0.968300 (1),
818058,wz,0.964200 (2),
818257,jhonjoe,0.959700 (3),
818467,_Bo_,0.959300 (4),
818228,newbee2,0.956300 (5),
817717,wenbinwuee,0.952500 (6),
817752,lzalex,0.951300 (7),
805110,deneme4,0.950000 (8),
818107,CharlieCode,0.949800 (9),
816235,docx,0.948200 (10),
818707,wuyongfa,0.947500 (11),
818112,silvanzhouds,0.946400 (12),
785753,Julia_W,0.941600 (13),
781360,hufengshuo07,0.927300 (14),
806551,rhythmblue,0.923000 (15),
814467,amin__,0.916900 (16),
770225,thomas1900,0.916500 (17),
778057,styanddty,0.914900 (18),
815534,vector,0.911300 (19),
818032,m-decoster,0.908300 (20),
817307,hpoes,0.904500 (21),
817303,papastrat,0.898400 (22),
810912,Benjia_Zhou,0.895400 (23),
818416,ColineP-J,0.885000 (24),
817370,jalba,0.882800 (25),
817753,Bugmaker,0.854900 (26),
811622,xcx1106,0.852900 (27),
812528,xz,0.851300 (28),
770599,okankopuklu,0.813000 (29),
802737,AmitMY,0.765700 (30),
818147,swu,0.682900 (31),
793729,barragan,0.640600 (32),
757028,osincan,0.425800 (33),
818236,alpk,0.397000 (34),
818565,RobsonSouza,0.271400 (35),
814691,soony,0.250100 (36),
803933,vbandaruk,0.004800 (37),
816969,LiangSiyu,0.004500 (38),
803259,yang1847,0.004300 (39),
