submission_pk,User,AP (total),AR (total),AP (PL),AR (PL),AP (CR),AR (CR),AP (CS),AR (CS),AP (HW),AR (HW)
841944,jjrCN,82.2 (1),90.1 (1),97.0 (3),98.2 (3),79.9 (1),87.3 (1),63.8 (1),85.4 (2),83.2 (1),86.5 (1),
839999,ustc-nelslip,79.7 (2),88.9 (3),95.6 (6),97.3 (7),75.1 (4),83.7 (6),63.6 (2),86.3 (1),79.0 (4),83.9 (5),
839757,wellyoung,79.1 (3),88.2 (4),95.5 (7),97.1 (8),78.8 (2),86.8 (2),59.8 (4),82.5 (3),80.5 (2),83.9 (3),
834415,xiaochu3,76.7 (4),89.1 (2),95.4 (8),97.3 (7),75.1 (3),85.1 (3),58.3 (7),86.3 (1),80.3 (3),83.9 (4),
841637,sunpengliang,76.1 (5),83.9 (10),96.1 (4),97.7 (5),69.8 (7),75.5 (11),62.1 (3),78.9 (6),73.4 (7),76.6 (10),
842336,yuzehui1996,75.1 (6),84.9 (6),92.5 (13),95.2 (15),72.5 (5),79.0 (9),59.8 (5),80.6 (5),75.2 (5),80.1 (6),
842417,zangwei,75.0 (7),81.0 (12),97.8 (1),98.6 (2),62.7 (12),67.9 (13),58.4 (6),74.4 (14),70.7 (11),73.5 (13),
842352,AIlenn,73.4 (8),80.7 (13),94.7 (10),96.8 (11),65.7 (10),70.7 (12),57.2 (8),74.7 (13),68.8 (13),72.4 (14),
841451,lonlystar,73.0 (9),84.5 (7),95.0 (9),97.4 (6),71.5 (6),84.7 (4),50.7 (16),75.5 (11),73.8 (6),77.6 (8),
841544,freeusashoteachday,71.0 (10),84.2 (9),94.4 (11),97.1 (9),65.8 (9),80.2 (8),51.4 (14),78.0 (8),71.7 (9),77.0 (9),
841310,CTSU-RADAR,70.3 (11),84.5 (8),92.2 (15),96.5 (12),69.7 (8),82.5 (7),49.7 (17),76.9 (9),73.1 (8),78.6 (7),
842187,mrhuangchuan,70.2 (12),80.1 (14),91.8 (16),94.1 (16),58.4 (14),65.8 (16),56.3 (10),75.7 (10),70.8 (10),75.6 (11),
841327,Mr.Herb,70.2 (13),79.1 (15),97.2 (2),98.2 (4),56.7 (16),66.8 (15),56.5 (9),74.9 (12),62.1 (15),66.3 (16),
839881,ChenLeo0129,69.3 (14),77.3 (16),91.1 (18),93.0 (19),60.6 (13),67.5 (14),53.2 (12),71.3 (15),66.4 (14),69.6 (15),
831430,USTC-qiang,65.3 (15),83.4 (11),89.6 (19),94.1 (17),64.9 (11),76.5 (10),50.7 (15),82.2 (4),69.9 (12),74.8 (12),
838976,Dolphin,64.4 (16),67.7 (19),93.8 (12),95.3 (14),54.3 (17),58.0 (18),48.3 (18),53.5 (20),50.1 (20),53.7 (20),
840764,zhoudm,64.3 (17),72.1 (17),92.3 (14),95.4 (13),46.1 (20),53.5 (20),54.0 (11),69.2 (16),52.8 (19),55.9 (19),
842052,wangyu123456,63.8 (18),68.6 (18),91.5 (17),93.1 (18),39.6 (21),42.0 (21),52.2 (13),62.0 (17),58.3 (16),60.6 (17),
834393,xiaohao2021,55.1 (19),87.5 (5),74.2 (20),98.6 (1),52.1 (19),83.8 (5),38.4 (20),78.1 (7),57.6 (17),86.1 (2),
842084,install83,50.5 (20),64.2 (20),63.5 (21),75.5 (21),52.2 (18),56.8 (19),41.6 (19),60.1 (18),55.8 (18),58.6 (18),
829297,dirichlet123,48.4 (21),59.0 (21),96.0 (5),97.1 (10),57.8 (15),63.9 (17),32.8 (21),54.4 (19),9.3 (22),9.8 (22),
842404,Puyou,29.5 (22),53.2 (22),45.1 (22),89.0 (20),15.9 (22),24.7 (22),22.9 (22),40.5 (21),26.3 (21),38.2 (21),
832738,Cheng,0.0 (23),0.0 (23),0.0 (23),0.0 (22),0.0 (23),0.0 (23),0.0 (23),0.0 (22),0.0 (23),0.0 (23),
