submission_pk,User,mAP
870836,TSM-Image,0.8395 (1),
869527,Klawens,0.8379 (2),
871107,GOOOODNIGHT,0.8373 (3),
871096,HartonWu,0.8367 (4),
871131,zqcraft,0.8279 (5),
870853,TAL-ai,0.8234 (6),
851564,Mage,0.8185 (7),
869615,LYLove,0.8158 (8),
851174,tsing-chenyuyang,0.8141 (9),
869745,Captain_x,0.8132 (10),
860771,flag,0.8087 (11),
865747,DeepBlueAI,0.8078 (12),
865636,Tong,0.8057 (13),
871171,Singularity213,0.8049 (14),
864741,haoxl,0.8049 (15),
852138,wltext,0.8004 (16),
870780,gujingxiao,0.7907 (17),
870906,djdllmj,0.7878 (18),
856354,chenzy_hust,0.7860 (19),
861061,ustc-nelslip,0.7846 (20),
845750,see,0.7803 (21),
868668,TsingMircro,0.7745 (22),
864294,Kaggle,0.7585 (23),
858121,QDD,0.7175 (24),
869732,wushang,0.6891 (25),
868566,ymshi,0.6733 (26),
850685,wyong,0.6622 (27),
870919,Densen,0.6349 (28),
868403,Jhilik,0.5828 (29),
871127,chair6,0.5769 (30),
866163,liujeff,0.5752 (31),
864731,jaychou,0.5610 (32),
842738,yapia,0.5282 (33),
849402,Tengyu,0.5265 (34),
869962,DU-CASIOT-UM,0.5160 (35),
868451,um,0.5160 (35),
869586,QXChen,0.5108 (36),
835232,Zhi,0.4991 (37),
864468,tujun,0.4621 (38),
870630,SaagaraMB,0.4598 (39),
843233,nefelibata,0.4062 (40),
829855,shakehealthy,0.2921 (41),
808428,zhaozhenxing904,0.2921 (41),
793797,flyywh,0.2921 (41),
867173,qqq123,0.2479 (42),
867164,npu,0.2479 (42),
862789,vgoodgame,0.0380 (43),
866493,hrishikeshps,0.0001 (44),
843051,Marclu,0.0000 (45),
842338,MisakiCoca,0.0000 (46),
