submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
837046,Noah_TerminalVision,43.5699 (1),0.9579 (4),-1.0000 (1),-1.0 (1),-1.0 (1),
839538,megviiLuo,43.4246 (2),0.9569 (5),-1.0000 (1),-1.0 (1),-1.0 (1),
839529,algoLuo,43.3664 (3),0.9606 (2),-1.0000 (1),-1.0 (1),-1.0 (1),
828230,WenyiLian,42.8612 (4),0.9596 (3),-1.0000 (1),-1.0 (1),-1.0 (1),
1043983,JohnDoe4598,42.4392 (5),0.9536 (6),-1.0000 (1),-1.0 (1),-1.0 (1),
1120580,swz30,42.3658 (6),0.9618 (1),-1.0000 (1),-1.0 (1),-1.0 (1),
830536,yulei,42.2414 (7),0.9492 (10),-1.0000 (1),-1.0 (1),-1.0 (1),
820319,shermanluo,41.6791 (8),0.9508 (8),-1.0000 (1),-1.0 (1),-1.0 (1),
820709,Logan,41.3333 (9),0.9459 (11),-1.0000 (1),-1.0 (1),-1.0 (1),
911548,mbzuai,40.9857 (10),0.9536 (7),-1.0000 (1),-1.0 (1),-1.0 (1),
820563,evelynchee,40.9167 (11),0.9503 (9),-1.0000 (1),-1.0 (1),-1.0 (1),
830357,TakahiroMaeda,40.8001 (12),0.9426 (12),-1.0000 (1),-1.0 (1),-1.0 (1),
818884,playgun,40.4291 (13),0.9385 (13),-1.0000 (1),-1.0 (1),-1.0 (1),
831145,ipg_aifa,37.6734 (14),0.9243 (14),-1.0000 (1),-1.0 (1),-1.0 (1),
832643,SangHyeokSon,36.8022 (15),0.9028 (15),-1.0000 (1),-1.0 (1),-1.0 (1),
839471,chowy333,36.3584 (16),0.8995 (17),-1.0000 (1),-1.0 (1),-1.0 (1),
822833,guoweihung,36.3326 (17),0.8977 (18),-1.0000 (1),-1.0 (1),-1.0 (1),
844226,JOCKER,36.2787 (18),0.9004 (16),-1.0000 (1),-1.0 (1),-1.0 (1),
839146,raoumer,35.2942 (19),0.8879 (19),-1.0000 (1),-1.0 (1),-1.0 (1),
836536,TerVis,33.6946 (20),0.8622 (20),-1.0000 (1),-1.0 (1),-1.0 (1),
1083460,martema,30.9147 (21),0.8254 (21),-1.0000 (1),-1.0 (1),-1.0 (1),
905369,fs_,29.8921 (22),0.7888 (22),-1.0000 (1),-1.0 (1),-1.0 (1),
822971,meye66,29.8921 (22),0.7888 (22),-1.0000 (1),-1.0 (1),-1.0 (1),
785952,goutamgmb,29.8921 (22),0.7888 (22),-1.0000 (1),-1.0 (1),-1.0 (1),
817815,jsk19,17.6013 (23),0.2928 (23),-1.0000 (1),-1.0 (1),-1.0 (1),
