submission_pk,User,macro_f1
785384,Handreek,0.6810 (1),
784463,ygq_1993,0.6801 (2),
784373,leny-mi,0.6721 (3),
786843,Foltig,0.6590 (4),
786914,foltgroup66,0.6470 (5),
786234,XuLu,0.6434 (6),
786249,lang_matthias,0.6432 (7),
785921,bobaboba,0.6425 (8),
784489,alexander.peerdeman,0.6346 (9),
784329,FoLTStudent,0.6311 (10),
786160,janw,0.6303 (11),
784468,Ich_73,0.6257 (12),
784447,c92142d9,0.6232 (13),
786017,adrianm,0.6221 (14),
785559,pkwagner,0.6210 (15),
786603,lkcall,0.6198 (16),
787026,Johanna12345,0.6193 (17),
786146,rainyday,0.6193 (17),
786135,jwehrstein,0.6190 (18),
785455,zhankeliu,0.6180 (19),
785838,derRichter,0.6165 (20),
786927,julieeecious,0.6120 (21),
786550,Hakox,0.6061 (22),
785821,tkopf,0.6008 (23),
784644,lukasleist,0.5961 (24),
786156,Wolfgang,0.5930 (25),
786959,Group15,0.5412 (26),
786680,MattinSayed,0.5401 (27),
