submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
805720,luo.ying,0.99 (1),0.9839 (1),1.0000 (1),
808281,avc2687,0.83 (2),0.8347 (2),0.8279 (2),
814065,hung068,0.80 (3),0.7857 (3),0.8115 (3),
805532,afaji321,0.66 (4),0.6903 (4),0.6393 (7),
812409,rajarshi_jucse,0.62 (5),0.5714 (6),0.6885 (5),
802479,azpoliak_barnard,0.59 (6),0.5090 (7),0.6967 (4),
805911,joco,0.49 (7),0.3990 (8),0.6475 (6),
805939,uyaseen,0.48 (8),0.5833 (5),0.4016 (8),
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
submission_pk,User,F1,P,R
802479,azpoliak_barnard,- (-),,,
814065,hung068,- (-),,,
805939,uyaseen,- (-),,,
805911,joco,- (-),,,
805720,luo.ying,- (-),,,
808281,avc2687,- (-),,,
805532,afaji321,- (-),,,
812409,rajarshi_jucse,- (-),,,
