submission_pk,User,IoU (moving),Recall (moving)
1111275,benemer,0.805 (1),- (2),
1080129,SMVF1,0.759 (2),- (2),
1108965,qipeng_li,0.749 (3),- (2),
1097456,jykim,0.747 (4),- (2),
1044374,zexi.han,0.741 (5),- (2),
1025586,SVQNet,0.727 (6),- (2),
1132277,nineteen19,0.715 (7),- (2),
1075701,Tenghao,0.712 (8),- (2),
1116904,pingping123,0.712 (9),- (2),
1025868,JiadaiSun,0.708 (10),- (2),
1094938,daihm,0.702 (11),- (2),
1074396,maoyuxin,0.696 (12),- (2),
937708,shengyuhuang,0.692 (13),- (2),
1025668,shougang,0.688 (14),- (2),
1064424,denghui22,0.685 (15),- (2),
1137739,yihangLi,0.646 (16),- (2),
1012014,ivzju_song,0.638 (17),- (2),
1030774,MaxUN,0.636 (18),- (2),
806991,Xieyuanli_Chen,0.625 (19),- (2),
1024714,xiaoyang_121,0.623 (20),- (2),
1003164,hblixy2,0.619 (21),- (2),
803740,jbehley,0.609 (22),0.961 (1),
1095316,yaosuoling,0.606 (23),- (2),
1144826,goldoak,0.527 (24),- (2),
1127040,gjtgcsj1,0.522 (25),- (2),
1139992,yangpan,0.516 (26),- (2),
1102390,vardeepsandhu,0.230 (27),- (2),
