submission_pk,User,Gaze Error,Gaze Error Standard Deviation
864888,HDU_CS,2.54 (1),2.11 (1),
920701,Halo_Gaze,3.08 (2),2.22 (3),
858067,VIPLGaze,3.21 (3),2.51 (7),
1101918,LeiiY_ISCAS,3.23 (4),2.39 (5),
1032286,SimitGaze,3.23 (4),2.39 (5),
968325,an_comp,3.27 (5),2.43 (6),
1067938,VIPL-TAL-Gaze,3.31 (6),2.32 (4),
911803,Huawei_ICS,3.38 (7),2.22 (2),
1080075,ust-gaze,3.43 (8),2.60 (8),
882244,OneMGaze,3.55 (9),2.65 (10),
1089718,songxy,3.67 (10),2.66 (12),
1139641,creamnuts,3.73 (11),2.65 (9),
1044665,Yihua-test,3.73 (12),2.66 (11),
883166,HUST-IETC,3.96 (13),2.97 (14),
989055,kevinsu628,4.24 (14),3.20 (23),
1144932,Doge,4.24 (15),2.82 (13),
937207,bchban,4.29 (16),3.44 (28),
1090663,rmaha002,4.34 (17),3.20 (21),
1122536,brookekekeboom,4.36 (18),3.20 (24),
1124046,qingling,4.37 (19),3.18 (20),
1122894,buddha,4.39 (20),3.26 (26),
855259,renqin,4.40 (21),3.21 (25),
865922,HITGaze,4.42 (22),3.08 (15),
1081639,yuyuya,4.43 (23),3.09 (16),
972187,wjk,4.44 (24),3.17 (19),
1091126,weiyucui,4.45 (25),3.20 (22),
1133026,NV-Gaze,4.48 (26),3.16 (18),
1144080,yunhanwang,4.50 (27),3.14 (17),
1074738,zhangmf2,4.63 (28),3.30 (27),
936925,Mr.24,5.32 (29),5.27 (32),
898589,shisen,5.63 (30),4.43 (29),
1012351,hs1145,5.80 (31),4.95 (31),
814960,NISL2021,6.27 (32),4.80 (30),
1041543,AAbdelrahman,15.73 (33),17.76 (33),
1105870,UMSHU,15.89 (34),17.89 (34),
1101544,LeiiY,44.18 (35),23.15 (35),
1126091,Chia-Hsun,49.20 (36),33.22 (37),
1040857,ahmed.abdelrahman,50.22 (37),25.47 (36),
