submission_pk,User,Gaze Direction Angular Error / deg,Point-of-Gaze Euclidean Error / px,Point-of-Gaze Euclidean Error / cm,Pupil Size Mean Absolute Error / mm
904036,HDU_CS,1.95 (1),75.0 (1),2.16 (1),2.74 (5),
849983,MonIIT,2.12 (2),81.2 (2),2.34 (2),0.25 (1),
817527,EVE_GazeRefineNet_CGRU_oa_skip,2.37 (3),91.4 (3),2.63 (3),0.29 (3),
817526,EVE_GazeRefineNet_CGRU_oa,2.38 (4),92.0 (4),2.65 (4),0.29 (3),
817531,EVE_GazeRefineNet_CRNN_oa_skip,2.44 (5),94.2 (5),2.71 (5),0.29 (3),
817530,EVE_GazeRefineNet_CRNN_oa,2.54 (6),98.2 (6),2.83 (6),0.29 (3),
817532,EVE_GazeRefineNet_static_oa,2.68 (7),103.2 (7),2.97 (7),0.29 (3),
1073776,yangqinghong,2.75 (8),106.1 (9),3.06 (9),0.29 (4),
817533,EVE_GazeRefineNet_static_oa_sk,2.75 (9),106.1 (8),3.06 (8),0.29 (3),
817529,EVE_GazeRefineNet_CLSTM_oa_ski,3.20 (10),123.4 (10),3.56 (10),0.29 (3),
817514,EVE_GazeRefineNet_static,3.20 (11),123.7 (11),3.56 (11),0.29 (3),
896600,vramiv,3.39 (12),130.7 (12),3.76 (12),0.27 (2),
817528,EVE_GazeRefineNet_CLSTM_oa,7.38 (13),284.3 (13),8.19 (13),0.29 (3),
