submission_pk,User,mAP,AP50,AP75,AR1,AR10
887797,tuantng,0.541 (1),0.742 (2),0.616 (1),0.433 (2),0.589 (2),
886724,eastonssy,0.523 (2),0.767 (1),0.577 (2),0.439 (1),0.570 (3),
887674,vidit98,0.491 (3),0.681 (5),0.545 (3),0.410 (5),0.550 (4),
885464,linhj,0.478 (4),0.693 (3),0.527 (5),0.422 (3),0.591 (1),
887695,hongsong.wang,0.476 (5),0.684 (4),0.529 (4),0.414 (4),0.546 (5),
879783,gb7,0.473 (6),0.665 (6),0.511 (6),0.405 (6),0.516 (6),
887683,zfonemore,0.461 (7),0.644 (7),0.510 (7),0.383 (7),0.506 (7),
880487,Suqi.lmh,0.323 (8),0.488 (9),0.362 (8),0.302 (9),0.382 (8),
881996,qwe123,0.319 (9),0.515 (8),0.338 (9),0.312 (8),0.379 (9),
886301,SimoneRos,0.121 (10),0.242 (10),0.103 (10),0.134 (10),0.153 (10),
