submission_pk,User,Sum of Losses,Performance loss,Privacy loss
870031,biz00bask,-0.244740 (1),0.383511 (4),-0.628251 (5),
857046,goulagman,-0.238636 (2),0.373696 (3),-0.612332 (8),
871139,blobfish,-0.234198 (3),0.369248 (2),-0.603446 (9),
873036,tnogneng,-0.230355 (4),0.368535 (1),-0.598890 (10),
867569,lemonking,-0.227284 (5),0.410613 (7),-0.637897 (4),
866777,gasparteam7,-0.223505 (6),0.397713 (5),-0.621219 (6),
869464,hzx957,-0.223408 (7),0.397794 (6),-0.621202 (7),
840776,MagicPaulo,-0.189766 (8),0.472378 (8),-0.662144 (1),
865757,abdjiber,-0.186566 (9),0.473718 (9),-0.660284 (2),
869405,SachinSingh1,-0.168694 (10),0.472378 (8),-0.641072 (3),
854354,learner,-0.168694 (10),0.472378 (8),-0.641072 (3),
852389,romain57,-0.168694 (10),0.472378 (8),-0.641072 (3),
833074,eustache,-0.168694 (10),0.472378 (8),-0.641072 (3),
