submission_pk,User,F1 Score,Precision,Recall
1133366,lufficc,0.8172 (1),0.8403 (1),0.7954 (1),
871893,chenen.cc,0.7455 (2),0.7898 (2),0.7060 (3),
869669,ramyamounir,0.6718 (3),0.6110 (10),0.7462 (2),
868053,username318,0.6362 (4),0.6113 (9),0.6632 (4),
851521,leiwx52,0.6185 (5),0.6171 (8),0.6200 (5),
1125463,wasun,0.6182 (6),0.6171 (8),0.6193 (6),
866082,tonymelo,0.6081 (7),0.6075 (11),0.6087 (7),
864867,simcity429,0.5386 (8),0.6231 (7),0.4743 (9),
864647,awiny,0.5161 (9),0.6486 (6),0.4286 (10),
856500,tkzzc,0.3205 (10),0.7321 (5),0.2052 (11),
861849,csn,0.3130 (11),0.2150 (12),0.5758 (8),
871740,hwendt,0.0565 (12),0.7472 (3),0.0293 (12),
1032317,rayush7,0.0523 (13),0.7370 (4),0.0271 (13),
