submission_pk,User,Accuracy
888117,queen_s0,89.4406 (1),
865804,Artem_Vazhentsev,86.7194 (2),
888456,Daniil_Moskovskiy,86.1961 (3),
889020,ekovtun,84.1377 (4),
889074,Allessyer,83.0678 (5),
867559,player42,82.4514 (6),
887533,palette_knife25,81.6141 (7),
867360,dkorzh10,80.5442 (8),
887963,Glebzok,79.8581 (9),
888074,eplumite,78.0556 (10),
888018,truepg,76.9043 (11),
867308,timotei.ardelean,76.4973 (12),
887988,daleshch,76.4391 (13),
886189,annakey,73.1597 (14),
887429,eugeneavd,72.9969 (15),
888111,Filitov-Mikhail,71.7293 (16),
866939,ruslan_alive,66.3914 (17),
850280,lilaspourpre,50.7036 (18),
852605,dementyeva_ds,50.1919 (19),
