submission_pk,User,Balanced accuracy
896149,Milind,0.76 (1),
896039,sagarbhalke,0.76 (2),
888827,saulo_msantos,0.76 (3),
892675,Dmchamps,0.76 (4),
889032,Sykzen-hyphenV,0.76 (5),
915415,Saru_,0.76 (6),
915403,ClementS,0.76 (7),
894982,Numave,0.76 (7),
894971,kaced21,0.76 (7),
893388,nnnhanus,0.76 (8),
887092,Fantiks,0.76 (9),
887053,jacoboRuiz,0.75 (10),
890782,ap14,0.74 (11),
889156,niksss,0.74 (12),
880468,gabec,0.73 (13),
895362,Preuce,0.64 (14),
895274,Falmeida,0.64 (15),
915861,Eberloued,0.64 (16),
895334,tretre91,0.55 (17),
896252,ramirosso,0.54 (18),
886623,colin.nakache,0.54 (19),
895288,gabuz,0.51 (20),
895429,Gaby,0.51 (21),
893446,berk,0.50 (22),
895316,Seydou,0.50 (23),
884853,mevrard,0.50 (24),
895474,OUKSILI,0.50 (25),
895296,merimi,0.50 (26),
896234,VanM1x,0.50 (27),
896209,Sykzen,0.50 (28),
897586,Darmorezov_Vadim,0.49 (29),
895487,GL1,-1.00 (30),
895484,Thms,-1.00 (30),
895525,Mikaaaa,- (31),
895500,Linatag,- (31),
