submission_pk,User,RANK<ACER>,APCER,BPCER,AUC
906838,cyberlink_rdme,0.2326 (1),0.0000 (1),0.4651 (1),1.000000 (1),
906751,reallm,0.2326 (1),0.0000 (1),0.4651 (1),1.000000 (1),
906763,Iverson,0.2326 (1),0.0000 (1),0.4651 (1),1.000000 (1),
906548,clks,0.2326 (1),0.0000 (1),0.4651 (1),1.000000 (1),
906538,mingmuchen,0.2326 (1),0.0000 (1),0.4651 (1),1.000000 (1),
906367,DXM-DI-AI-CV-TEAM,0.2326 (1),0.0000 (1),0.4651 (1),1.000000 (1),
906283,Thomas123,0.2326 (1),0.0000 (1),0.4651 (1),1.000000 (1),
905041,gesture_challenge,0.2326 (1),0.0000 (1),0.4651 (1),1.000000 (1),
905637,msxf_cs,0.3883 (2),0.3115 (2),0.4651 (1),0.999957 (2),
905516,ddddddqiu,0.3883 (2),0.3115 (2),0.4651 (1),0.999957 (2),
904661,Tsien2021,0.4630 (3),0.0000 (1),0.9259 (2),0.997483 (16),
896645,yuchunwang,0.4630 (3),0.0000 (1),0.9259 (2),0.997323 (18),
885834,CV_newbie,0.4630 (3),0.0000 (1),0.9259 (2),0.996766 (20),
906547,Orbbec-FaceAI,0.4651 (4),0.0000 (1),0.9302 (3),0.999855 (4),
906255,YilongZhang,0.4651 (4),0.0000 (1),0.9302 (3),0.999855 (4),
905629,SeaRecluse,0.4651 (4),0.0000 (1),0.9302 (3),0.999899 (3),
906076,mfang,0.5441 (5),0.6231 (4),0.4651 (1),0.997211 (19),
905941,hyokong,0.5441 (5),0.6231 (4),0.4651 (1),0.999855 (4),
905670,sama_cmb,0.5441 (5),0.6231 (4),0.4651 (1),0.999797 (6),
904216,msxf-liang.gao01,0.6192 (6),0.3125 (3),0.9259 (2),0.998655 (9),
901106,inspire,0.6192 (6),0.3125 (3),0.9259 (2),0.996730 (21),
880656,dlavender,0.6192 (6),0.3125 (3),0.9259 (2),0.997425 (17),
906518,zhishanli,0.6209 (7),0.3115 (2),0.9302 (3),0.999957 (2),
906362,ZhihaoGu,0.6209 (7),0.3115 (2),0.9302 (3),0.999841 (5),
890505,dpc1990,0.7755 (8),0.6250 (5),0.9259 (2),0.997830 (15),
888017,zkyezhang_,0.7755 (8),0.6250 (5),0.9259 (2),0.998640 (10),
906537,fscr,0.9324 (9),0.9346 (6),0.9302 (3),0.996508 (22),
899264,lcr,1.0069 (10),0.6250 (5),1.3889 (4),0.998452 (12),
897832,sellab,1.0069 (10),0.6250 (5),1.3889 (4),0.998524 (11),
905845,Yu_He,1.0882 (11),1.2461 (8),0.9302 (3),0.999029 (7),
900820,xuxiaolon1990,1.3947 (12),0.9375 (7),1.8519 (5),0.995081 (25),
906623,HaoyuanZheng,1.3975 (13),0.9346 (6),1.8605 (6),0.998681 (8),
885848,oleggrinch,1.4757 (14),1.5625 (9),1.3889 (4),0.996079 (23),
906612,KuanHua,1.8648 (15),1.8692 (10),1.8605 (6),0.982656 (29),
904096,Wayne_Chiu,2.0949 (16),1.8750 (11),2.3148 (7),0.992781 (26),
902300,yinggui,2.0949 (16),1.8750 (11),2.3148 (7),0.991934 (27),
904175,LeH,2.2512 (17),2.1875 (12),2.3148 (7),0.998307 (14),
898754,taylover_pei,2.4074 (18),2.5000 (13),2.3148 (7),0.988563 (28),
906270,hanry.ham,3.5739 (19),3.4268 (14),3.7209 (8),0.995131 (24),
904204,meles-may,4.7338 (20),4.3750 (15),5.0926 (9),0.972729 (30),
906723,jagmohan,9.5544 (21),8.4112 (16),10.6977 (10),0.949692 (31),
905416,huangxs01,50.0000 (22),0.0000 (1),100.0000 (11),0.998442 (13),
903932,lifeplayer,50.0000 (22),0.0000 (1),100.0000 (11),1.000000 (1),
