submission_pk,User,Click Log Loss,Improvement vs Naive (%),Degradation vs Oracle (%)
950040,yhdota,0.227106 (1),30.01 (1),-1.76 (1),
950030,fnoob,0.227106 (1),30.01 (1),-1.76 (1),
950018,guruqu,0.227106 (1),30.01 (1),-1.76 (1),
949941,ml314,0.227911 (2),29.76 (2),-2.12 (2),
949680,siudej,0.227959 (3),29.74 (3),-2.14 (3),
949552,mbw1131,0.228143 (4),29.69 (4),-2.22 (4),
949236,dratewka,0.229168 (5),29.37 (5),-2.68 (5),
949191,dvdu,0.229203 (6),29.36 (6),-2.70 (6),
949143,kamile,0.229203 (6),29.36 (6),-2.70 (6),
934483,ramezani,0.229283 (7),29.34 (7),-2.73 (7),
950024,kss,0.229472 (8),29.28 (8),-2.82 (8),
936458,lm81,0.229493 (9),29.27 (9),-2.83 (9),
938117,mgajek,0.229501 (10),29.27 (9),-2.83 (9),
939010,RR,0.229620 (11),29.23 (10),-2.88 (10),
950028,sdadams,0.230409 (12),28.99 (11),-3.24 (11),
941889,mdecock,0.230447 (13),28.98 (12),-3.25 (12),
926184,sanzgiri,0.230570 (14),28.94 (13),-3.31 (13),
939915,p_a_arty,0.230635 (15),28.92 (14),-3.34 (14),
940910,mlhusky,0.230644 (16),28.92 (14),-3.34 (14),
928480,will_go,0.230649 (17),28.92 (14),-3.34 (14),
906458,owruby,0.230703 (18),28.90 (15),-3.37 (15),
931495,sergey_msu,0.231163 (19),28.76 (16),-3.58 (16),
920903,biz00bask,0.231325 (20),28.71 (17),-3.65 (17),
928049,krosh17,0.231377 (21),28.69 (18),-3.67 (18),
918714,timlou,0.231811 (22),28.56 (19),-3.87 (19),
941282,meliodas,0.231879 (23),28.54 (20),-3.90 (20),
939455,tEarth,0.232257 (24),28.42 (21),-4.07 (21),
935647,ak_iyama,0.232463 (25),28.36 (22),-4.16 (22),
917854,aflatoon,0.232694 (26),28.29 (23),-4.26 (23),
949959,rmckenna,0.233062 (27),28.17 (24),-4.43 (24),
907751,steveng,0.235463 (28),27.43 (25),-5.50 (25),
931064,darya.gordiyuk,0.235912 (29),27.29 (26),-5.70 (26),
926114,zouwuhe,0.236050 (30),27.25 (27),-5.76 (27),
934076,knyght,0.236530 (31),27.10 (28),-5.98 (28),
915906,rookie102,0.240320 (32),25.94 (29),-7.68 (29),
922365,ek,0.240494 (33),25.88 (30),-7.76 (30),
949823,ColdWheels,0.242006 (34),25.42 (31),-8.43 (31),
892358,learner,0.244063 (35),24.78 (32),-9.36 (32),
891079,ber2,0.244547 (36),24.63 (33),-9.57 (33),
890365,ztskyer,0.249901 (37),22.98 (34),-11.97 (34),
916675,MukundS,0.250122 (38),22.91 (35),-12.07 (35),
902509,vadim,0.251665 (39),22.44 (36),-12.76 (36),
926443,demonic,0.252289 (40),22.25 (37),-13.04 (37),
926403,eddie77,0.252728 (41),22.11 (38),-13.24 (38),
913904,sriramv,0.252915 (42),22.05 (39),-13.32 (39),
901260,Shardb,0.252915 (42),22.05 (39),-13.32 (39),
896092,boel,0.252915 (42),22.05 (39),-13.32 (39),
890036,HugorHill,0.252916 (43),22.05 (39),-13.32 (39),
931130,mcabinaya,0.252917 (44),22.05 (39),-13.32 (39),
925621,humeilZeo1,0.252917 (44),22.05 (39),-13.32 (39),
923675,tetelias,0.252917 (44),22.05 (39),-13.32 (39),
899837,david-dobrinskiy,0.252917 (44),22.05 (39),-13.32 (39),
898488,shoelace,0.252917 (44),22.05 (39),-13.32 (39),
