submission_pk,User,mIoU,accuracy,Ground,High Vegetation,Buildings,Walls,Bridge,Parking,Rail,traffic Roads,Street Furniture,Cars,Footpath,Bikes,Water
977130,salientman,0.6870 (1),0.9440 (2),0.8780 (2),0.9890 (1),0.9640 (5),0.6930 (7),0.5960 (19),0.6360 (2),0.4970 (6),0.6620 (1),0.5770 (4),0.8560 (7),0.4900 (4),0.2300 (5),0.8620 (1),
976338,yanxugg,0.6810 (2),0.9400 (5),0.8600 (9),0.9890 (1),0.9640 (5),0.7780 (3),0.5980 (18),0.5500 (24),0.5300 (3),0.6480 (3),0.5820 (3),0.8660 (5),0.4140 (21),0.2980 (3),0.7790 (10),
977072,cheukyuk,0.6760 (3),0.9460 (1),0.8820 (1),0.9880 (2),0.9660 (3),0.6910 (8),0.6600 (7),0.6150 (4),0.5020 (5),0.6480 (3),0.5720 (7),0.8660 (5),0.5390 (1),0.0000 (28),0.8530 (2),
971067,numahha,0.6700 (4),0.9420 (3),0.8740 (3),0.9880 (2),0.9600 (6),0.6840 (9),0.5820 (22),0.6320 (3),0.5820 (1),0.6350 (6),0.5740 (6),0.8630 (6),0.4510 (11),0.0340 (21),0.8470 (4),
987804,iceory,0.6620 (5),0.9250 (16),0.8160 (33),0.9440 (16),0.9520 (11),0.7780 (3),0.4720 (35),0.4990 (35),0.5620 (2),0.6460 (4),0.5970 (1),0.8660 (5),0.4540 (10),0.2090 (6),0.8130 (7),
974744,Iron_Man_,0.6610 (6),0.9410 (4),0.8670 (5),0.9870 (3),0.9650 (4),0.6550 (12),0.6650 (5),0.5500 (24),0.5080 (4),0.6480 (3),0.5410 (9),0.8530 (8),0.5110 (2),0.0000 (28),0.8480 (3),
994688,SQQ_Zone,0.6530 (7),0.9390 (6),0.8630 (6),0.9890 (1),0.9660 (3),0.7740 (4),0.4980 (31),0.5800 (10),0.3760 (7),0.6350 (6),0.5850 (2),0.8840 (1),0.4680 (5),0.1200 (12),0.7480 (24),
978059,tcLu,0.6530 (7),0.9390 (6),0.8610 (8),0.9890 (1),0.9660 (3),0.7710 (5),0.5120 (30),0.5990 (8),0.3500 (10),0.6400 (5),0.5820 (3),0.8820 (2),0.4610 (7),0.1330 (10),0.7420 (27),
941114,bixueting21,0.6400 (8),0.9300 (11),0.8580 (11),0.9850 (5),0.9520 (11),0.6140 (20),0.6120 (15),0.5780 (11),0.2800 (20),0.6030 (14),0.4660 (20),0.8280 (12),0.4450 (13),0.3470 (2),0.7530 (21),
967454,NotGoodEnough,0.6370 (9),0.9330 (8),0.8620 (7),0.9850 (5),0.9540 (9),0.6030 (22),0.6280 (11),0.6320 (3),0.3100 (16),0.6210 (8),0.4730 (16),0.8210 (18),0.4450 (13),0.1920 (7),0.7510 (22),
1101414,xianruixue,0.6360 (10),0.9330 (8),0.8610 (8),0.9870 (3),0.9570 (7),0.6570 (11),0.6280 (11),0.5260 (32),0.3650 (8),0.6200 (9),0.5210 (10),0.8430 (9),0.4590 (8),0.0900 (15),0.7500 (23),
1102844,shiyuqi,0.6350 (11),0.9310 (10),0.8620 (7),0.9860 (4),0.9530 (10),0.6350 (13),0.6160 (12),0.5380 (29),0.3470 (11),0.5980 (16),0.4970 (14),0.8200 (19),0.4450 (13),0.1450 (9),0.8100 (8),
1102841,Apengh,0.6340 (12),0.9310 (10),0.8620 (7),0.9860 (4),0.9530 (10),0.6330 (14),0.6150 (13),0.5330 (30),0.3590 (9),0.5990 (15),0.4980 (13),0.8250 (14),0.4460 (12),0.1270 (11),0.8100 (8),
1104935,yangyalong,0.6320 (13),0.9330 (8),0.8600 (9),0.9860 (4),0.9530 (10),0.6620 (10),0.6810 (3),0.5710 (14),0.3200 (14),0.6280 (7),0.5020 (12),0.8270 (13),0.4560 (9),0.0000 (28),0.7740 (14),
1104872,mamingwei,0.6310 (14),0.9330 (8),0.8590 (10),0.9860 (4),0.9530 (10),0.6620 (10),0.6890 (2),0.5500 (24),0.3070 (17),0.6190 (10),0.5090 (11),0.8310 (10),0.4620 (6),0.0000 (28),0.7750 (13),
977513,avinashcse_iitg,0.6250 (15),0.9280 (13),0.8490 (16),0.9840 (6),0.9480 (14),0.6130 (21),0.6780 (4),0.5880 (9),0.3240 (13),0.6070 (12),0.4600 (23),0.8190 (20),0.4380 (16),0.0600 (19),0.7550 (20),
975345,Yipchongkoon,0.6240 (16),0.9270 (14),0.8510 (15),0.9850 (5),0.9510 (12),0.6010 (23),0.6060 (17),0.5670 (16),0.3430 (12),0.5960 (18),0.4690 (19),0.8270 (13),0.4260 (18),0.1620 (8),0.7230 (30),
977838,Aurora_,0.6160 (17),0.9230 (17),0.8410 (22),0.9830 (7),0.9470 (15),0.5980 (25),0.6160 (12),0.5600 (18),0.2110 (26),0.5790 (22),0.4570 (24),0.8100 (24),0.4070 (24),0.2450 (4),0.7600 (19),
1135664,zengziyin,0.6130 (18),0.9320 (9),0.8550 (13),0.9840 (6),0.9560 (8),0.6190 (18),0.5860 (21),0.6400 (1),0.2850 (18),0.6280 (7),0.4540 (25),0.8190 (20),0.4240 (19),0.0480 (20),0.6770 (39),
976584,viki_sjtu,0.6130 (18),0.9310 (10),0.8580 (11),0.9850 (5),0.9520 (11),0.6180 (19),0.6490 (8),0.6130 (5),0.1760 (32),0.6030 (14),0.4700 (18),0.8210 (18),0.4430 (14),0.0010 (27),0.7770 (11),
977081,inxs,0.6120 (19),0.9310 (10),0.8580 (11),0.9850 (5),0.9520 (11),0.6180 (19),0.6380 (10),0.6070 (6),0.1820 (31),0.6040 (13),0.4710 (17),0.8230 (16),0.4410 (15),0.0070 (26),0.7760 (12),
1145843,Zhanwenxiao,0.6090 (20),0.9170 (23),0.8560 (12),0.9850 (5),0.9350 (27),0.5900 (28),0.3980 (40),0.4290 (43),0.3190 (15),0.5210 (36),0.4870 (15),0.8240 (15),0.3990 (29),0.3570 (1),0.8240 (5),
977489,zoodaisy,0.6010 (21),0.9390 (6),0.8700 (4),0.9890 (1),0.9670 (2),0.7880 (2),0.4680 (36),0.5310 (31),0.0000 (49),0.6160 (11),0.5650 (8),0.8720 (3),0.4360 (17),0.0000 (28),0.7080 (33),
977912,xiuzhi,0.6000 (22),0.9210 (19),0.8420 (21),0.9830 (7),0.9470 (15),0.5830 (30),0.6420 (9),0.5440 (26),0.2130 (25),0.5580 (31),0.4610 (22),0.8110 (23),0.3480 (44),0.1040 (13),0.7650 (18),
977053,ch3cookfdu,0.5990 (23),0.9260 (15),0.8550 (13),0.9850 (5),0.9510 (12),0.6210 (17),0.6140 (14),0.5390 (28),0.2690 (21),0.5700 (26),0.4420 (29),0.8250 (14),0.4040 (26),0.0090 (25),0.7010 (34),
1146661,Lanlaner,0.5970 (24),0.9380 (7),0.8580 (11),0.9890 (1),0.9680 (1),0.7930 (1),0.4970 (32),0.5240 (33),0.0000 (49),0.6210 (8),0.5750 (5),0.8680 (4),0.4200 (20),0.0000 (28),0.6550 (46),
1100691,flysnow_hxb_3,0.5970 (24),0.9220 (18),0.8440 (20),0.9840 (6),0.9450 (17),0.6010 (23),0.5510 (28),0.5460 (25),0.2190 (23),0.5680 (28),0.4390 (30),0.8270 (13),0.4120 (22),0.0730 (17),0.7460 (25),
1094154,flysnow_hxb,0.5950 (25),0.9220 (18),0.8510 (15),0.9840 (6),0.9430 (19),0.5640 (36),0.5700 (25),0.5550 (22),0.2830 (19),0.5650 (29),0.4220 (34),0.8150 (21),0.4020 (28),0.0330 (22),0.7450 (26),
1101974,flysnow_hxb_ntu_gmail,0.5940 (26),0.9210 (19),0.8470 (17),0.9830 (7),0.9390 (23),0.5940 (26),0.5780 (23),0.5640 (17),0.2240 (22),0.5650 (29),0.4270 (33),0.8220 (17),0.3940 (31),0.0670 (18),0.7190 (32),
1096864,flysnow_hxb_ntu,0.5930 (27),0.9230 (17),0.8490 (16),0.9840 (6),0.9440 (18),0.6240 (16),0.5590 (26),0.5330 (30),0.1880 (29),0.5690 (27),0.4540 (25),0.8190 (20),0.4120 (22),0.0210 (23),0.7550 (20),
959058,HRHXD,0.5890 (28),0.9290 (12),0.8530 (14),0.9840 (6),0.9510 (12),0.6180 (19),0.6640 (6),0.5510 (23),0.0000 (49),0.5800 (21),0.4460 (28),0.8010 (28),0.4030 (27),0.0000 (28),0.8030 (9),
