submission_pk,User,DC,DC (SA),DC (LA),HD (SA),HD (LA),HD
935025,tewodrosw,0.924 (2),0.925 (2),0.922 (3),8.902 (2),5.353 (2),8.015 (1),
930418,mitchfulton,0.923 (3),0.924 (3),0.922 (1),8.853 (1),5.591 (4),8.037 (2),
927395,xsun,0.921 (5),0.922 (4),0.920 (4),9.472 (4),5.343 (1),8.440 (3),
918482,Arren,0.924 (1),0.927 (1),0.916 (6),9.389 (3),5.769 (8),8.484 (4),
927516,svcc,0.922 (4),0.922 (5),0.922 (2),9.560 (5),5.441 (3),8.530 (5),
935947,yas_alk,0.918 (6),0.919 (7),0.916 (7),9.600 (6),5.768 (7),8.642 (6),
1057102,kamalrajsingh,0.917 (9),0.917 (10),0.918 (5),9.755 (7),5.627 (5),8.723 (7),
936727,SandroQueiros,0.918 (8),0.918 (9),0.915 (8),10.330 (8),5.994 (10),9.246 (8),
932118,nanyomy2,0.911 (11),0.913 (12),0.904 (15),10.594 (12),5.876 (9),9.414 (9),
926716,sanajabbar,0.905 (15),0.902 (16),0.914 (10),10.663 (15),5.706 (6),9.424 (10),
931334,fkong,0.918 (7),0.919 (6),0.915 (9),10.630 (13),6.015 (11),9.476 (11),
939491,dl1014,0.908 (13),0.909 (14),0.905 (13),10.654 (14),6.025 (12),9.497 (12),
919492,Moona,0.909 (12),0.917 (11),0.885 (20),10.521 (11),6.728 (15),9.573 (13),
929223,HRAdam,0.916 (10),0.919 (8),0.909 (11),10.511 (10),6.825 (17),9.589 (14),
931354,simge,0.902 (16),0.901 (17),0.908 (12),10.993 (16),6.033 (13),9.753 (15),
948644,manigalati,0.906 (14),0.907 (15),0.903 (16),11.142 (17),6.939 (18),10.092 (16),
890962,jsensio,0.891 (17),0.890 (21),0.894 (17),11.863 (18),6.793 (16),10.596 (17),
922494,narek1110,0.876 (21),0.878 (25),0.870 (24),13.322 (19),8.496 (22),12.115 (18),
900067,mmotak,0.875 (22),0.879 (24),0.862 (26),13.759 (22),8.600 (23),12.469 (19),
939262,key1589745,0.875 (23),0.880 (23),0.860 (28),13.814 (23),9.560 (24),12.751 (20),
899011,lesanpi,0.890 (18),0.900 (18),0.862 (27),13.477 (20),11.515 (27),12.986 (21),
928873,Lei_Li,0.884 (20),0.896 (19),0.848 (31),13.665 (21),11.754 (28),13.187 (22),
931350,lino202,0.889 (19),0.892 (20),0.880 (21),13.995 (24),14.359 (33),14.086 (23),
939585,CarlesG,0.846 (29),0.912 (13),0.648 (37),10.367 (9),28.853 (36),14.989 (24),
892631,AlexFocus,0.862 (28),0.858 (29),0.876 (22),17.531 (25),8.470 (21),15.266 (25),
895293,xocopacers,0.868 (25),0.872 (26),0.856 (29),17.728 (26),12.031 (29),16.304 (26),
937974,PhilippSodmann,0.863 (27),0.862 (28),0.867 (25),19.580 (27),10.632 (26),17.343 (27),
1014233,xieruiwei,0.779 (35),0.767 (35),0.814 (32),20.294 (28),13.888 (32),18.693 (28),
934288,sohom21d,0.807 (33),0.781 (33),0.888 (19),21.249 (29),13.429 (31),19.294 (29),
927355,catharine.graves,0.816 (32),0.842 (30),0.738 (35),28.641 (30),20.569 (34),26.623 (30),
902006,sagarbhalke,0.791 (34),0.771 (34),0.851 (30),34.954 (31),8.281 (20),28.286 (31),
904680,key1589745,0.819 (31),0.824 (32),0.803 (34),35.870 (32),13.417 (30),30.257 (32),
904539,Dmchamps,0.842 (30),0.826 (31),0.888 (18),38.879 (33),7.534 (19),31.042 (33),
904577,zulal,0.866 (26),0.886 (22),0.804 (33),42.164 (34),31.714 (37),39.552 (34),
931671,se7en,0.696 (38),0.708 (37),0.661 (36),48.037 (35),22.111 (35),41.555 (35),
930599,zwep,0.869 (24),0.867 (27),0.873 (23),54.043 (36),10.252 (25),43.095 (36),
909669,DiveshRK,0.772 (36),0.728 (36),0.904 (14),74.228 (37),6.712 (14),57.349 (37),
923930,Milind,0.715 (37),0.652 (38),0.904 (14),77.744 (38),6.712 (14),59.986 (38),
