submission_pk,User,mae
910024,mike.mirza,2.969 (1),
907834,NickLe,3.056 (2),
910101,myjabbar,3.056 (2),
909866,ashish.kumar1,3.068 (3),
907943,Artur_Davletshin,3.242 (4),
910099,acostalr,3.266 (5),
909882,madupont,3.281 (6),
910126,aigulakberova,3.288 (7),
910081,RicardoLara,3.348 (8),
910034,tpeng,3.653 (9),
910127,Marie,3.667 (10),
909836,Alta_Geothermal,3.696 (11),
910047,Chinedu,3.725 (12),
910020,GTXers_RD,3.725 (12),
910090,James_Hiu,3.752 (13),
907917,jimmyyih,3.869 (14),
908974,ctspalmgren,3.875 (15),
907027,kevinplg118,3.879 (16),
907698,chenqian0562,4.088 (17),
909992,prayer,4.197 (18),
910002,skylogger,4.219 (19),
907941,zenophilip,4.249 (20),
907879,trevormcleodabsk,4.292 (21),
906032,mlis2,4.308 (22),
910040,omoafe,4.410 (23),
909168,jw_geothermal,4.453 (24),
909950,GTXers_SM,4.486 (25),
910136,Aysa,4.552 (26),
909985,GeorgeTsai,4.597 (27),
906933,bingiceberg,4.624 (28),
902632,sercan.gul,4.753 (29),
910095,Softypo,4.861 (30),
909921,GTXers,5.058 (31),
905546,SeyideHunyinbo,5.205 (32),
908975,PayamAkto,5.291 (33),
909956,FreddyCarrion,5.323 (34),
902724,Guche20,5.469 (35),
909313,yiliuhalliburton,5.474 (36),
910115,mahaly,5.923 (37),
906116,dtang61,6.035 (38),
909895,ileanvm,6.288 (39),
905519,RaziehSolatpour,6.352 (40),
905512,jeremyz10,6.363 (41),
910143,SRutherford11,6.392 (42),
906152,PrinceIgweze,6.639 (43),
906310,Xiong.Lei,6.885 (44),
907095,Smn2,6.993 (45),
905384,osako22,7.009 (46),
908556,tanorak,7.262 (47),
909930,dj153,7.452 (48),
909304,erm0rden,7.452 (48),
900782,svpoludasu,7.500 (49),
910109,jhurtado,8.174 (50),
909851,paulina.wozniakowska,8.748 (51),
909198,sunnybamboo,8.824 (52),
907686,CristhianA,9.120 (53),
906965,leidy.tamayodurn,9.168 (54),
903708,jmfkwong,10.088 (55),
904494,akpopoola,11.007 (56),
906106,miral.shereen,11.752 (57),
900793,crblackw,11.752 (57),
896297,example_user,11.752 (57),
909392,oskrgab,58.499 (58),
909841,nmuhammedy,404.000 (59),
908033,HonggeunJo,404.000 (59),
906138,sbaljak,404.000 (59),
