submission_pk,User,Overall Score,Score Symbol Rate,Score Modulation Type,Score Modulation Order
890848,Nicortiz,20.00 (1),20.00 (1),20.00 (1),20.00 (1),
892123,philipp.luetke,19.00 (2),20.00 (1),20.00 (1),19.00 (2),
890982,yihsiang,19.00 (2),20.00 (1),20.00 (1),19.00 (2),
891387,stefan-baumann,18.00 (3),18.00 (3),18.00 (3),18.00 (3),
890792,mbrey,18.00 (3),20.00 (1),19.00 (2),18.00 (3),
891263,egaznep2,18.00 (3),20.00 (1),19.00 (2),18.00 (3),
890712,rapplukas,18.00 (3),18.00 (3),18.00 (3),18.00 (3),
892059,mr_drmz,17.00 (4),20.00 (1),19.00 (2),17.00 (4),
891518,SmasherOO,17.00 (4),20.00 (1),18.00 (3),17.00 (4),
890957,janirsp,17.00 (4),20.00 (1),18.00 (3),17.00 (4),
892025,Wavemaster0,16.00 (5),20.00 (1),17.00 (4),16.00 (5),
890711,feudelle001,16.00 (5),20.00 (1),20.00 (1),16.00 (5),
891616,Team_RGB_1,16.00 (5),17.00 (4),17.00 (4),16.00 (5),
891274,Wavemasters1,16.00 (5),20.00 (1),17.00 (4),16.00 (5),
891319,Ouagadougou79,16.00 (5),19.00 (2),18.00 (3),16.00 (5),
890992,Team_RGB_3,16.00 (5),17.00 (4),17.00 (4),16.00 (5),
891073,cloud_sine8,16.00 (5),20.00 (1),19.00 (2),16.00 (5),
890725,DasBierGewinnt1,16.00 (5),20.00 (1),19.00 (2),16.00 (5),
891896,yani,15.00 (6),19.00 (2),18.00 (3),15.00 (6),
891895,INSIC,15.00 (6),20.00 (1),20.00 (1),15.00 (6),
890896,fasdp,14.00 (7),17.00 (4),18.00 (3),14.00 (7),
890733,rebaz,13.00 (8),16.00 (5),14.00 (7),13.00 (8),
892110,Luky22,12.00 (9),18.00 (3),15.00 (6),12.00 (9),
890714,adithya005,11.00 (10),18.00 (3),16.00 (5),12.00 (9),
890867,iabhideshmukhis,2.00 (11),20.00 (1),5.00 (8),2.00 (10),
